GCD Test
Bias: 5000.000000
IV_D0_CO138_LargeDiode_GRConnected_Irradiated_190min
Date/Time: 8/5/2021 5:28:42 PM
Sensor Name: Pin153
Type: N
Annealing Status: Irradiated and Annealed at 60C for 190 Minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 2.9612E-7	 2.9540E-7	 2.9630E-7	 2.9560E-7	 2.9720E-7	2.995394E-7	2.987061E-7	3.011162E-7	2.996057E-7	2.987296E-7	  -20.0465	   11.9986	    5.8852	  -24.6905	
    2.0000	 4.0518E-7	 4.0520E-7	 4.0520E-7	 4.0630E-7	 4.0400E-7	4.029315E-7	4.050228E-7	4.022633E-7	4.028986E-7	4.015413E-7	  -20.0415	   11.9159	    5.8555	  -24.8067	
    3.0000	 4.8805E-7	 4.8910E-7	 4.8790E-7	 4.8870E-7	 4.8650E-7	4.878360E-7	4.876164E-7	4.859361E-7	4.900938E-7	4.876978E-7	  -20.0364	   11.8986	    5.8121	  -24.9013	
    4.0000	 5.6080E-7	 5.6080E-7	 5.6430E-7	 5.6080E-7	 5.5730E-7	5.601703E-7	5.583505E-7	5.593607E-7	5.602914E-7	5.626786E-7	  -20.0440	   11.8788	    5.7600	  -25.0152	
    5.0000	 6.3020E-7	 6.3230E-7	 6.2920E-7	 6.3000E-7	 6.2930E-7	6.312117E-7	6.291247E-7	6.328960E-7	6.293713E-7	6.334548E-7	  -20.0491	   11.8776	    5.7179	  -25.0969	
    6.0000	 6.9392E-7	 6.9070E-7	 6.9190E-7	 6.9550E-7	 6.9760E-7	6.923934E-7	6.968905E-7	6.895944E-7	6.917533E-7	6.913355E-7	  -20.0440	   11.8717	    5.6319	  -25.2681	
    7.0000	 7.4735E-7	 7.4480E-7	 7.4880E-7	 7.4630E-7	 7.4950E-7	7.485051E-7	7.491086E-7	7.500257E-7	7.464193E-7	7.484670E-7	  -20.0364	   11.8717	    5.6034	  -25.3238	
    8.0000	 8.0290E-7	 8.0150E-7	 8.0270E-7	 8.0450E-7	 8.0290E-7	8.012624E-7	8.038467E-7	7.986870E-7	8.023680E-7	8.001479E-7	  -20.0262	   11.9021	    5.5288	  -25.4490	
    9.0000	 8.5577E-7	 8.4850E-7	 8.5460E-7	 8.5990E-7	 8.6010E-7	8.543487E-7	8.530971E-7	8.479385E-7	8.552697E-7	8.610897E-7	  -20.0287	   11.8432	    5.4870	  -25.5748	
   10.0000	 9.0582E-7	 9.1210E-7	 9.0690E-7	 9.0640E-7	 8.9790E-7	9.020138E-7	8.989597E-7	9.061438E-7	9.007164E-7	9.022352E-7	  -20.0338	   11.8196	    5.4292	  -25.7081	
   20.0000	 1.3320E-6	 1.3300E-6	 1.3280E-6	 1.3310E-6	 1.3390E-6	1.337508E-6	1.337044E-6	1.334548E-6	1.338074E-6	1.340367E-6	  -20.0415	   11.8508	    5.3201	  -25.9077	
   30.0000	 1.6873E-6	 1.6850E-6	 1.6850E-6	 1.6870E-6	 1.6920E-6	1.683916E-6	1.689758E-6	1.687440E-6	1.682512E-6	1.675953E-6	  -20.0364	   11.8508	    5.2631	  -26.0253	
   40.0000	 2.0007E-6	 1.9930E-6	 1.9970E-6	 2.0080E-6	 2.0050E-6	2.004743E-6	2.010519E-6	2.004091E-6	2.004733E-6	1.999629E-6	  -20.0313	   11.7550	    5.2163	  -26.1918	
   50.0000	 2.2773E-6	 2.2760E-6	 2.2780E-6	 2.2750E-6	 2.2800E-6	2.291865E-6	2.298569E-6	2.286338E-6	2.292294E-6	2.290260E-6	  -20.0262	   11.7894	    5.1319	  -26.3448	
