GCD Test
Bias: 5000.000000
IV_D0_CO138_LargeDiode_GRConnected_Irradiated_20min_at_60C
Date/Time: 7/30/2021 3:39:07 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated, Annealed at 60C for 20 Minutes
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 3.4297E-7	 3.4350E-7	 3.4360E-7	 3.4250E-7	 3.4230E-7	3.473489E-7	3.463998E-7	3.478358E-7	3.478837E-7	3.472763E-7	  -20.0109	    7.1827	    9.7296	  -22.6920	
    2.0000	 4.7407E-7	 4.7320E-7	 4.7510E-7	 4.7440E-7	 4.7360E-7	4.751574E-7	4.757984E-7	4.749790E-7	4.744879E-7	4.753643E-7	  -20.0160	    7.2099	    9.7144	  -22.6886	
    3.0000	 5.7755E-7	 5.7850E-7	 5.7890E-7	 5.7580E-7	 5.7700E-7	5.754989E-7	5.759841E-7	5.757674E-7	5.767542E-7	5.734899E-7	  -20.0084	    7.1957	    9.7034	  -22.7124	
    4.0000	 6.6080E-7	 6.6250E-7	 6.6130E-7	 6.6000E-7	 6.5940E-7	6.608311E-7	6.588079E-7	6.593426E-7	6.621979E-7	6.629760E-7	  -20.0186	    7.1572	    9.7065	  -22.7384	
    5.0000	 7.4065E-7	 7.4170E-7	 7.4170E-7	 7.3810E-7	 7.4110E-7	7.432375E-7	7.433059E-7	7.438204E-7	7.423507E-7	7.434730E-7	  -20.0262	    7.1680	    9.7018	  -22.7356	
    6.0000	 8.1507E-7	 8.1520E-7	 8.1330E-7	 8.1560E-7	 8.1620E-7	8.134392E-7	8.174169E-7	8.134400E-7	8.125241E-7	8.103760E-7	  -20.0415	    7.2173	    9.6923	  -22.7085	
    7.0000	 8.8515E-7	 8.8370E-7	 8.8680E-7	 8.8650E-7	 8.8360E-7	8.814596E-7	8.812673E-7	8.818552E-7	8.815542E-7	8.811618E-7	  -20.0389	    7.2173	    9.6872	  -22.7144	
    8.0000	 9.4855E-7	 9.4890E-7	 9.5070E-7	 9.4630E-7	 9.4830E-7	9.459140E-7	9.456954E-7	9.468340E-7	9.466893E-7	9.444371E-7	  -20.0389	    7.1871	    9.6765	  -22.7503	
    9.0000	 1.0090E-6	 1.0040E-6	 1.0070E-6	 1.0140E-6	 1.0110E-6	1.005141E-6	1.005535E-6	1.003335E-6	1.004909E-6	1.006786E-6	  -20.0440	    7.1935	    9.6784	  -22.7431	
   10.0000	 1.0672E-6	 1.0670E-6	 1.0660E-6	 1.0700E-6	 1.0660E-6	1.071429E-6	1.066466E-6	1.071051E-6	1.074360E-6	1.073840E-6	  -20.0465	    7.1692	    9.6711	  -22.7703	
   20.0000	 1.5767E-6	 1.5770E-6	 1.5760E-6	 1.5760E-6	 1.5780E-6	1.565722E-6	1.560136E-6	1.569593E-6	1.567442E-6	1.565719E-6	  -20.0491	    7.1348	    9.6686	  -22.7998	
   30.0000	 1.9955E-6	 1.9920E-6	 1.9950E-6	 2.0030E-6	 1.9920E-6	1.988735E-6	1.985228E-6	1.990797E-6	1.987818E-6	1.991095E-6	  -20.0389	    7.1657	    9.6705	  -22.7738	
   40.0000	 2.3625E-6	 2.3620E-6	 2.3650E-6	 2.3620E-6	 2.3610E-6	2.342827E-6	2.342919E-6	2.348673E-6	2.342175E-6	2.337540E-6	  -20.0287	    7.1366	    9.6670	  -22.8002	
   50.0000	 2.6985E-6	 2.6890E-6	 2.6960E-6	 2.7010E-6	 2.7080E-6	2.683904E-6	2.687756E-6	2.689186E-6	2.685292E-6	2.673382E-6	  -20.0237	    7.1693	    9.6565	  -22.7872	
   60.0000	 3.0063E-6	 3.0040E-6	 3.0190E-6	 3.0070E-6	 2.9950E-6	2.994642E-6	2.985869E-6	3.001201E-6	2.997481E-6	2.994015E-6	  -20.0211	    7.1649	    9.6638	  -22.7821	
   70.0000	 3.2982E-6	 3.3040E-6	 3.3000E-6	 3.3010E-6	 3.2880E-6	3.252105E-6	3.258408E-6	3.250824E-6	3.242815E-6	3.256375E-6	  -20.0211	    7.1229	    9.6464	  -22.8348	
   80.0000	 3.5577E-6	 3.5590E-6	 3.5610E-6	 3.5560E-6	 3.5550E-6	3.547567E-6	3.549986E-6	3.548765E-6	3.555491E-6	3.536026E-6	  -20.0084	    7.1254	    9.6502	  -22.8284	
   90.0000	 3.8307E-6	 3.8250E-6	 3.8320E-6	 3.8450E-6	 3.8210E-6	3.787035E-6	3.770268E-6	3.792348E-6	3.790461E-6	3.795064E-6	  -19.9931	    7.1535	    9.6493	  -22.8079	
  100.0000	 4.0460E-6	 4.0430E-6	 4.0370E-6	 4.0410E-6	 4.0630E-6	4.027085E-6	4.019019E-6	4.015058E-6	4.032911E-6	4.041353E-6	  -19.9855	    7.1378	    9.6493	  -22.8199	
  120.0000	 4.5143E-6	 4.5270E-6	 4.5120E-6	 4.5090E-6	 4.5090E-6	4.468827E-6	4.471697E-6	4.456549E-6	4.467718E-6	4.479345E-6	  -19.9779	    7.1901	    9.6515	  -22.7771	
  140.0000	 4.9188E-6	 4.9360E-6	 4.9250E-6	 4.9170E-6	 4.8970E-6	4.862643E-6	4.857203E-6	4.883806E-6	4.854724E-6	4.854838E-6	  -19.9652	    7.1489	    9.6540	  -22.8059	
  160.0000	 5.3037E-6	 5.3010E-6	 5.3090E-6	 5.3050E-6	 5.3000E-6	5.238831E-6	5.239443E-6	5.246724E-6	5.237045E-6	5.232113E-6	  -19.9652	    7.1524	    9.6502	  -22.8076	
  180.0000	 5.6512E-6	 5.6260E-6	 5.6600E-6	 5.6460E-6	 5.6730E-6	5.576505E-6	5.567023E-6	5.568670E-6	5.579880E-6	5.590446E-6	  -19.9753	    7.1816	    9.6616	  -22.7718	
  200.0000	 5.9782E-6	 5.9970E-6	 5.9800E-6	 5.9700E-6	 5.9660E-6	5.943674E-6	5.954010E-6	5.935506E-6	5.946749E-6	5.938430E-6	  -19.9601	    7.1444	    9.6619	  -22.8001	
  220.0000	 6.2480E-6	 6.2370E-6	 6.2540E-6	 6.2440E-6	 6.2570E-6	6.178418E-6	6.190116E-6	6.180035E-6	6.171357E-6	6.172163E-6	  -19.9626	    7.1894	    9.6559	  -22.7724	
  240.0000	 6.5390E-6	 6.5470E-6	 6.5380E-6	 6.5400E-6	 6.5310E-6	6.428597E-6	6.423956E-6	6.434911E-6	6.452278E-6	6.403245E-6	  -19.9601	    7.1912	    9.6682	  -22.7566	
  260.0000	 6.8255E-6	 6.7800E-6	 6.7940E-6	 6.8560E-6	 6.8720E-6	6.470397E-6	6.465266E-6	6.462366E-6	6.459825E-6	6.494130E-6	  -19.9652	    7.1890	    9.6572	  -22.7713	
  280.0000	 7.1622E-6	 7.1260E-6	 7.1930E-6	 7.1530E-6	 7.1770E-6	6.574509E-6	6.584349E-6	6.574887E-6	6.578673E-6	6.560127E-6	  -19.9652	    7.1910	    9.6670	  -22.7583	
  300.0000	 7.3897E-6	 7.4030E-6	 7.3800E-6	 7.3690E-6	 7.4070E-6	6.706309E-6	6.752718E-6	6.704151E-6	6.687816E-6	6.680551E-6	  -19.9702	    7.1684	    9.6572	  -22.7871	
  320.0000	 7.6215E-6	 7.6350E-6	 7.6320E-6	 7.5840E-6	 7.6350E-6	6.872243E-6	6.833428E-6	6.870139E-6	6.894932E-6	6.890475E-6	  -19.9702	    7.1796	    9.6594	  -22.7759	
  340.0000	 7.8923E-6	 7.8960E-6	 7.8970E-6	 7.8800E-6	 7.8960E-6	6.949545E-6	6.951650E-6	6.954027E-6	6.949301E-6	6.943202E-6	  -19.9702	    7.1985	    9.6641	  -22.7558	
  360.0000	 8.0472E-6	 8.0600E-6	 8.0350E-6	 8.0550E-6	 8.0390E-6	7.064768E-6	7.070140E-6	7.076020E-6	7.061271E-6	7.051640E-6	  -19.9779	    7.2016	    9.6467	  -22.7737	
  380.0000	 8.2268E-6	 8.2570E-6	 8.2200E-6	 8.2020E-6	 8.2280E-6	7.153400E-6	7.165527E-6	7.132184E-6	7.141828E-6	7.174061E-6	  -19.9906	    7.1164	    9.6477	  -22.8383	
