GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_220min
Date/Time: 8/6/2021 4:12:05 PM
Sensor Name: Pin153
Type: N
Annealing Status: Irradiated and Annealed at 60C for 220 Minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.028E-11	1.854E-11	1.888E+6	1.747E+6	  -20.0084	   10.0960	    4.0313	  -30.1299	
    2.0000	3.435E-11	1.862E-11	1.995E+6	1.778E+6	  -20.0084	   10.0720	    4.0373	  -30.1311	
    3.0000	3.685E-11	1.867E-11	2.086E+6	1.807E+6	  -19.9982	   10.0750	    4.0468	  -30.1043	
    4.0000	3.863E-11	1.871E-11	2.168E+6	1.833E+6	  -19.9957	   10.0667	    4.0512	  -30.0987	
    5.0000	4.021E-11	1.875E-11	2.231E+6	1.828E+6	  -19.9830	   10.0461	    4.0392	  -30.1444	
    6.0000	4.141E-11	1.878E-11	2.294E+6	1.857E+6	  -19.9855	   10.0919	    4.0515	  -30.0802	
    7.0000	4.213E-11	1.881E-11	2.367E+6	1.869E+6	  -19.9880	   10.1131	    4.0395	  -30.0964	
    8.0000	4.249E-11	1.883E-11	2.448E+6	1.883E+6	  -19.9855	   10.1229	    4.0487	  -30.0658	
    9.0000	4.321E-11	1.885E-11	2.500E+6	1.897E+6	  -19.9931	   10.1345	    4.0291	  -30.1086	
   10.0000	4.361E-11	1.887E-11	2.562E+6	1.913E+6	  -20.0033	   10.1495	    4.0234	  -30.1129	
   20.0000	4.507E-11	1.900E-11	3.108E+6	2.041E+6	  -20.0008	   10.1290	    4.0187	  -30.1397	
   30.0000	4.461E-11	1.908E-11	3.584E+6	2.148E+6	  -20.0084	   10.1147	    4.0073	  -30.1795	
   40.0000	4.360E-11	1.913E-11	4.020E+6	2.255E+6	  -20.0160	   10.1142	    4.0133	  -30.1641	
   50.0000	4.277E-11	1.914E-11	4.402E+6	2.372E+6	  -20.0186	   10.1142	    4.0038	  -30.1890	
   60.0000	4.171E-11	1.916E-11	4.785E+6	2.465E+6	  -20.0160	   10.1055	    4.0082	  -30.1835	
   70.0000	4.092E-11	1.917E-11	5.127E+6	2.552E+6	  -20.0109	   10.1078	    3.9946	  -30.2176	
   80.0000	3.996E-11	1.916E-11	5.482E+6	2.665E+6	  -20.0059	   10.0721	    3.9858	  -30.2659	
   90.0000	3.925E-11	1.917E-11	5.801E+6	2.740E+6	  -20.0008	   10.0860	    3.9918	  -30.2404	
  100.0000	3.856E-11	1.917E-11	6.119E+6	2.828E+6	  -19.9931	   10.0649	    3.9842	  -30.2752	
  120.0000	3.710E-11	1.914E-11	6.794E+6	3.041E+6	  -19.9830	   10.0173	    3.9864	  -30.3027	
  140.0000	3.588E-11	1.912E-11	7.454E+6	3.240E+6	  -19.9804	   10.0229	    3.9671	  -30.3497	
  160.0000	3.483E-11	1.908E-11	8.118E+6	3.451E+6	  -19.9855	   10.0084	    3.9646	  -30.3665	
  180.0000	3.370E-11	1.904E-11	8.856E+6	3.707E+6	  -19.9855	   10.0043	    3.9627	  -30.3744	
  200.0000	3.286E-11	1.900E-11	9.566E+6	3.953E+6	  -19.9855	   10.0257	    3.9658	  -30.3510	
  220.0000	3.187E-11	1.895E-11	1.037E+7	4.242E+6	  -19.9982	   10.0284	    3.9475	  -30.3977	
  240.0000	3.109E-11	1.891E-11	1.116E+7	4.543E+6	  -20.0109	   10.0327	    3.9646	  -30.3494	
  260.0000	3.033E-11	1.888E-11	1.200E+7	4.825E+6	  -20.0211	   10.0586	    3.9658	  -30.3280	
  280.0000	2.957E-11	1.884E-11	1.289E+7	5.163E+6	  -20.0262	   10.0356	    3.9646	  -30.3474	
  300.0000	2.885E-11	1.880E-11	1.384E+7	5.557E+6	  -20.0211	   10.0320	    3.9921	  -30.2775	
  320.0000	2.810E-11	1.876E-11	1.491E+7	5.963E+6	  -20.0186	   10.0213	    4.0003	  -30.2634	
  340.0000	2.745E-11	1.873E-11	1.603E+7	6.414E+6	  -20.0160	   10.0349	    4.0073	  -30.2356	
  360.0000	2.680E-11	1.869E-11	1.728E+7	6.937E+6	  -19.9982	   10.0400	    4.0089	  -30.2279	
  380.0000	2.617E-11	1.865E-11	1.869E+7	7.531E+6	  -19.9931	   10.0209	    4.0177	  -30.2181	
  400.0000	2.556E-11	1.862E-11	2.031E+7	8.233E+6	  -19.9855	   10.0419	    4.0237	  -30.1877	
  420.0000	2.492E-11	1.859E-11	2.222E+7	9.099E+6	  -19.9702	   10.0267	    4.0509	  -30.1276	
  440.0000	2.429E-11	1.855E-11	2.442E+7	1.009E+7	  -19.9677	   10.0335	    4.0534	  -30.1163	
  460.0000	2.371E-11	1.853E-11	2.697E+7	1.123E+7	  -19.9524	   10.0389	    4.0841	  -30.0333	
  480.0000	2.313E-11	1.850E-11	3.002E+7	1.261E+7	  -19.9855	   10.0251	    4.1256	  -29.9368	
  500.0000	2.259E-11	1.848E-11	3.365E+7	1.429E+7	  -19.9931	   10.0337	    4.1243	  -29.9340	
  520.0000	2.207E-11	1.846E-11	3.808E+7	1.616E+7	  -20.0135	   10.0337	    4.1335	  -29.9106	
  540.0000	2.159E-11	1.844E-11	4.374E+7	1.862E+7	  -20.0364	   10.0226	    4.1825	  -29.7943	
  560.0000	2.112E-11	1.842E-11	5.095E+7	2.146E+7	  -20.0440	   10.0253	    4.1989	  -29.7510	
  580.0000	2.070E-11	1.841E-11	6.005E+7	2.501E+7	  -20.0440	   10.0253	    4.2128	  -29.7161	
  600.0000	2.030E-11	1.839E-11	7.141E+7	2.935E+7	  -20.0389	   10.0100	    4.1999	  -29.7595	
  620.0000	1.995E-11	1.837E-11	8.556E+7	3.498E+7	  -20.0262	    9.9621	    4.1812	  -29.8402	
  640.0000	1.963E-11	1.835E-11	1.044E+8	4.223E+7	  -20.0059	    9.9621	    4.1749	  -29.8561	
  660.0000	1.936E-11	1.832E-11	1.311E+8	5.164E+7	  -19.9779	    9.9589	    4.1499	  -29.9216	
