GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_30min_at_60C
Date/Time: 7/30/2021 5:14:41 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated, Annealed at 60C for 30 Minutes
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.748E-11	2.027E-11	1.724E+6	1.446E+6	  -19.9982	    7.9581	    9.1847	  -22.7446	
    2.0000	4.143E-11	2.030E-11	1.833E+6	1.488E+6	  -20.0059	    7.9865	    9.1803	  -22.7282	
    3.0000	4.412E-11	2.031E-11	1.900E+6	1.520E+6	  -20.0389	    7.9687	    9.1730	  -22.7508	
    4.0000	4.555E-11	2.033E-11	1.982E+6	1.539E+6	  -20.0415	    7.9687	    9.1701	  -22.7543	
    5.0000	4.664E-11	2.034E-11	2.049E+6	1.558E+6	  -20.0287	    7.9373	    9.1682	  -22.7807	
    6.0000	4.734E-11	2.034E-11	2.115E+6	1.592E+6	  -20.0160	    7.9259	    9.1796	  -22.7754	
    7.0000	4.774E-11	2.037E-11	2.180E+6	1.616E+6	  -20.0109	    7.9560	    9.1626	  -22.7733	
    8.0000	4.822E-11	2.040E-11	2.231E+6	1.627E+6	  -20.0033	    7.9260	    9.1597	  -22.7998	
    9.0000	4.818E-11	2.043E-11	2.305E+6	1.650E+6	  -19.9880	    7.9117	    9.1610	  -22.8093	
   10.0000	4.826E-11	2.045E-11	2.367E+6	1.686E+6	  -19.9779	    7.8715	    9.1619	  -22.8389	
   20.0000	4.732E-11	2.063E-11	3.047E+6	1.867E+6	  -19.9652	    7.9161	    9.1667	  -22.7989	
   30.0000	4.620E-11	2.065E-11	3.540E+6	2.014E+6	  -19.9779	    7.8572	    9.1610	  -22.8510	
   40.0000	4.499E-11	2.066E-11	3.968E+6	2.119E+6	  -19.9957	    7.8572	    9.1556	  -22.8576	
   50.0000	4.377E-11	2.064E-11	4.356E+6	2.235E+6	  -19.9982	    7.8708	    9.1588	  -22.8433	
   60.0000	4.278E-11	2.061E-11	4.706E+6	2.344E+6	  -20.0084	    7.8708	    9.1483	  -22.8561	
   70.0000	4.177E-11	2.061E-11	5.039E+6	2.431E+6	  -20.0084	    7.8397	    9.1534	  -22.8737	
   80.0000	4.073E-11	2.057E-11	5.370E+6	2.549E+6	  -20.0008	    7.8188	    9.1575	  -22.8847	
   90.0000	3.989E-11	2.055E-11	5.671E+6	2.633E+6	  -20.0084	    7.8188	    9.1556	  -22.8871	
  100.0000	3.904E-11	2.052E-11	5.973E+6	2.735E+6	  -20.0186	    7.8700	    9.1603	  -22.8420	
  120.0000	3.764E-11	2.047E-11	6.543E+6	2.947E+6	  -20.0135	    7.8761	    9.1559	  -22.8428	
  140.0000	3.634E-11	2.041E-11	7.076E+6	3.150E+6	  -19.9702	    7.8314	    9.1689	  -22.8611	
  160.0000	3.534E-11	2.036E-11	7.564E+6	3.345E+6	  -19.9779	    7.7505	    9.1505	  -22.9456	
  180.0000	3.423E-11	2.027E-11	8.108E+6	3.616E+6	  -20.0008	    7.7280	    9.1610	  -22.9500	
  200.0000	3.322E-11	2.022E-11	8.651E+6	3.864E+6	  -20.0186	    7.7280	    9.1575	  -22.9543	
  220.0000	3.230E-11	2.015E-11	9.206E+6	4.183E+6	  -20.0262	    7.7653	    9.1660	  -22.9152	
  240.0000	3.138E-11	2.010E-11	9.804E+6	4.493E+6	  -20.0211	    7.6945	    9.1638	  -22.9723	
  260.0000	3.051E-11	2.005E-11	1.044E+7	4.842E+6	  -20.0084	    7.7496	    9.1584	  -22.9366	
  280.0000	2.964E-11	2.000E-11	1.117E+7	5.252E+6	  -20.0008	    7.8120	    9.1499	  -22.8993	
  300.0000	2.876E-11	1.995E-11	1.200E+7	5.759E+6	  -19.9830	    7.7093	    9.1474	  -22.9811	
  320.0000	2.794E-11	1.991E-11	1.292E+7	6.307E+6	  -19.9880	    7.7799	    9.1534	  -22.9196	
  340.0000	2.709E-11	1.987E-11	1.406E+7	6.986E+6	  -19.9957	    7.7799	    9.1392	  -22.9371	
  360.0000	2.629E-11	1.984E-11	1.532E+7	7.729E+6	  -19.9931	    7.7324	    9.1439	  -22.9677	
  380.0000	2.552E-11	1.982E-11	1.682E+7	8.628E+6	  -19.9931	    7.7163	    9.1284	  -22.9991	
  400.0000	2.479E-11	1.980E-11	1.851E+7	9.667E+6	  -20.0008	    7.6380	    9.1249	  -23.0633	
  420.0000	2.412E-11	1.978E-11	2.051E+7	1.076E+7	  -20.0033	    7.7002	    9.1208	  -23.0207	
  440.0000	2.348E-11	1.977E-11	2.292E+7	1.208E+7	  -20.0084	    7.7022	    9.1044	  -23.0395	
  460.0000	2.293E-11	1.976E-11	2.572E+7	1.349E+7	  -20.0211	    7.7510	    9.0993	  -23.0083	
  480.0000	2.244E-11	1.975E-11	2.903E+7	1.504E+7	  -20.0008	    7.7109	    9.0971	  -23.0418	
  500.0000	2.204E-11	1.975E-11	3.260E+7	1.660E+7	  -19.9652	    7.5966	    9.0955	  -23.1313	
  520.0000	2.171E-11	1.974E-11	3.659E+7	1.828E+7	  -20.0033	    7.6219	    9.0800	  -23.1310	
  540.0000	2.144E-11	1.974E-11	4.073E+7	1.992E+7	  -20.0135	    7.6032	    9.0863	  -23.1375	
  560.0000	2.120E-11	1.974E-11	4.492E+7	2.155E+7	  -20.0135	    7.6186	    9.0904	  -23.1207	
  580.0000	2.102E-11	1.975E-11	4.906E+7	2.292E+7	  -20.0211	    7.6186	    9.0889	  -23.1226	
  600.0000	2.090E-11	1.976E-11	5.225E+7	2.409E+7	  -20.0186	    7.5437	    9.0904	  -23.1781	
  620.0000	2.080E-11	1.977E-11	5.417E+7	2.497E+7	  -20.0237	    7.5446	    9.0965	  -23.1700	
  640.0000	2.077E-11	1.979E-11	5.419E+7	2.523E+7	  -20.0211	    7.5446	    9.0920	  -23.1755	
  660.0000	2.082E-11	1.981E-11	5.355E+7	2.496E+7	  -20.0059	    7.5140	    9.0863	  -23.2059	
  680.0000	2.094E-11	1.984E-11	5.186E+7	2.389E+7	  -19.9931	    7.5140	    9.0879	  -23.2040	
  700.0000	2.103E-11	1.987E-11	5.044E+7	2.247E+7	  -19.9931	    7.5648	    9.0873	  -23.1658	
  720.0000	2.121E-11	1.993E-11	4.930E+7	2.038E+7	  -19.9880	    7.4805	    9.0892	  -23.2280	
  740.0000	2.142E-11	2.001E-11	4.797E+7	1.827E+7	  -19.9702	    7.4805	    9.0914	  -23.2253	
  760.0000	2.160E-11	2.012E-11	4.697E+7	1.647E+7	  -19.9779	    7.4696	    9.1028	  -23.2196	
  780.0000	2.176E-11	2.025E-11	4.635E+7	1.511E+7	  -19.9753	    7.4324	    9.1015	  -23.2497	
  800.0000	2.190E-11	2.040E-11	4.532E+7	1.400E+7	  -19.9880	    7.5059	    9.0971	  -23.1988	
  820.0000	2.206E-11	2.057E-11	4.407E+7	1.333E+7	  -19.9728	    7.4919	    9.0993	  -23.2068	
  840.0000	2.220E-11	2.071E-11	4.293E+7	1.284E+7	  -19.9855	    7.4796	    9.1028	  -23.2120	
  860.0000	2.235E-11	2.086E-11	4.128E+7	1.248E+7	  -20.0033	    7.5026	    9.1078	  -23.1881	
  880.0000	2.249E-11	2.099E-11	3.992E+7	1.221E+7	  -19.9957	    7.5026	    9.1031	  -23.1940	
  900.0000	2.265E-11	2.112E-11	3.835E+7	1.195E+7	  -20.0033	    7.4665	    9.1072	  -23.2166	
  920.0000	2.281E-11	2.123E-11	3.692E+7	1.166E+7	  -20.0135	    7.4578	    9.1018	  -23.2299	
  940.0000	2.298E-11	2.134E-11	3.548E+7	1.143E+7	  -20.0211	    7.4734	    9.1053	  -23.2136	
  960.0000	2.317E-11	2.145E-11	3.397E+7	1.117E+7	  -20.0415	    7.5100	    9.1082	  -23.1821	
  980.0000	2.337E-11	2.155E-11	3.255E+7	1.082E+7	  -20.0364	    7.4482	    9.1224	  -23.2119	
 1000.0000	2.359E-11	2.165E-11	3.135E+7	1.052E+7	  -20.0109	    7.4514	    9.1088	  -23.2262	
 1020.0000	2.379E-11	2.175E-11	3.029E+7	1.016E+7	  -19.9855	    7.4514	    9.1218	  -23.2102	
 1040.0000	2.404E-11	2.185E-11	2.928E+7	9.785E+6	  -19.9931	    7.4304	    9.1186	  -23.2302	
 1060.0000	2.431E-11	2.195E-11	2.814E+7	9.383E+6	  -19.9957	    7.4509	    9.1189	  -23.2142	
 1080.0000	2.457E-11	2.208E-11	2.727E+7	8.908E+6	  -20.0033	    7.4057	    9.1176	  -23.2503	
 1100.0000	2.517E-11	2.231E-11	2.438E+7	8.021E+6	  -20.0160	    7.3636	    9.1135	  -23.2876	
