GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_30min_at_60C
Date/Time: 8/2/2021 10:58:12 AM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated, Annealed at 60C for 30 Minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.954E-12	3.886E-12	1.965E+9	2.903E+8	  -19.8176	   15.5751	    4.2473	  -25.7218	
    2.0000	3.993E-12	3.893E-12	2.565E+9	2.876E+8	  -19.8405	   15.5251	    4.2460	  -25.7601	
    3.0000	3.996E-12	3.894E-12	2.644E+9	2.881E+8	  -19.8710	   15.5462	    4.2849	  -25.6454	
    4.0000	3.991E-12	3.894E-12	2.581E+9	2.886E+8	  -19.8939	   15.5356	    4.3264	  -25.5474	
    5.0000	3.993E-12	3.893E-12	2.459E+9	2.879E+8	  -19.9117	   15.5709	    4.3748	  -25.4005	
    6.0000	3.995E-12	3.894E-12	2.554E+9	2.884E+8	  -19.9423	   15.5494	    4.4013	  -25.3491	
    7.0000	3.991E-12	3.894E-12	2.759E+9	2.889E+8	  -19.9448	   15.5206	    4.4130	  -25.3402	
    8.0000	3.995E-12	3.894E-12	2.476E+9	2.883E+8	  -19.9677	   15.4858	    4.4741	  -25.2137	
    9.0000	3.990E-12	3.894E-12	2.575E+9	2.875E+8	  -20.0033	   15.4800	    4.4247	  -25.3397	
   10.0000	3.995E-12	3.894E-12	2.471E+9	2.889E+8	  -20.0211	   15.4963	    4.4048	  -25.3778	
   20.0000	3.995E-12	3.892E-12	2.815E+9	2.992E+8	  -20.0287	   15.4648	    4.3763	  -25.4712	
   30.0000	3.994E-12	3.896E-12	2.535E+9	2.761E+8	  -20.0262	   15.4578	    4.3144	  -25.6326	
   40.0000	3.993E-12	3.890E-12	2.341E+9	2.919E+8	  -20.0109	   15.4474	    4.2625	  -25.7723	
   50.0000	3.995E-12	3.890E-12	2.454E+9	2.920E+8	  -20.0160	   15.4651	    4.2445	  -25.8063	
   60.0000	3.993E-12	3.897E-12	2.388E+9	2.761E+8	  -20.0033	   15.4037	    4.2138	  -25.9287	
   70.0000	3.994E-12	3.890E-12	2.392E+9	2.907E+8	  -19.9957	   15.4412	    4.2056	  -25.9238	
   80.0000	3.995E-12	3.890E-12	2.544E+9	2.915E+8	  -19.9957	   15.4412	    4.1917	  -25.9600	
   90.0000	3.993E-12	3.896E-12	2.484E+9	2.779E+8	  -20.0008	   15.3491	    4.1758	  -26.0658	
  100.0000	3.994E-12	3.889E-12	2.656E+9	2.910E+8	  -19.9906	   15.3843	    4.1720	  -26.0511	
  120.0000	3.995E-12	3.899E-12	2.579E+9	2.793E+8	  -19.9906	   15.4358	    4.1834	  -25.9853	
  140.0000	3.997E-12	3.899E-12	2.755E+9	2.785E+8	  -19.9906	   15.4204	    4.1850	  -25.9919	
  160.0000	3.992E-12	3.898E-12	2.533E+9	2.752E+8	  -19.9982	   15.3913	    4.2018	  -25.9686	
  180.0000	3.996E-12	3.899E-12	2.487E+9	2.730E+8	  -20.0059	   15.3950	    4.2249	  -25.9062	
  200.0000	4.000E-12	3.901E-12	2.798E+9	2.816E+8	  -20.0135	   15.3950	    4.2413	  -25.8637	
  220.0000	3.998E-12	3.900E-12	2.546E+9	2.815E+8	  -20.0135	   15.3527	    4.2334	  -25.9138	
  240.0000	3.995E-12	3.900E-12	2.607E+9	2.768E+8	  -20.0186	   15.3374	    4.2479	  -25.8870	
  260.0000	3.997E-12	3.897E-12	2.824E+9	2.659E+8	  -20.0211	   15.3346	    4.2903	  -25.7803	
  280.0000	3.999E-12	3.897E-12	2.511E+9	2.721E+8	  -20.0211	   15.2768	    4.2894	  -25.8234	
  300.0000	3.996E-12	3.900E-12	2.541E+9	2.801E+8	  -20.0160	   15.2796	    4.2789	  -25.8481	
  320.0000	3.997E-12	3.897E-12	2.741E+9	2.696E+8	  -19.9982	   15.3448	    4.2691	  -25.8274	
  340.0000	3.997E-12	3.896E-12	2.677E+9	2.660E+8	  -20.0008	   15.3651	    4.2606	  -25.8350	
  360.0000	3.996E-12	3.899E-12	2.741E+9	2.742E+8	  -19.9906	   15.2809	    4.2173	  -26.0058	
  380.0000	4.001E-12	3.899E-12	2.736E+9	2.750E+8	  -19.9957	   15.2575	    4.2043	  -26.0559	
  400.0000	3.998E-12	3.895E-12	2.640E+9	2.628E+8	  -20.0211	   15.2243	    4.2347	  -26.0006	
  420.0000	3.998E-12	3.898E-12	2.740E+9	2.709E+8	  -20.0186	   15.2385	    4.2147	  -26.0421	
  440.0000	3.997E-12	3.898E-12	2.573E+9	2.729E+8	  -20.0084	   15.3016	    4.2157	  -25.9954	
  460.0000	3.995E-12	3.898E-12	2.424E+9	2.737E+8	  -20.0160	   15.2845	    4.1958	  -26.0592	
  480.0000	3.996E-12	3.898E-12	2.438E+9	2.717E+8	  -20.0160	   15.2503	    4.1869	  -26.1062	
  500.0000	3.974E-12	3.894E-12	2.690E+9	2.638E+8	  -20.0135	   15.2873	    4.1483	  -26.1812	
  520.0000	3.993E-12	3.898E-12	2.720E+9	2.740E+8	  -20.0059	   15.2673	    4.1268	  -26.2519	
  540.0000	4.978E-12	3.860E-12	2.888E+9	1.269E+8	  -20.0109	   15.2218	    4.1360	  -26.2595	
  560.0000	3.935E-12	3.873E-12	3.311E+9	2.986E+8	    0.0000	    0.0000	    0.0000	    0.0000	
