GCD Test
Bias: 5000.000000
IV_D0_CO138_LargeDiode_GRConnected_Irradiated_30min_at_60C
Date/Time: 8/2/2021 11:40:51 AM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated, Annealed at 60C for 30 Minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 4.2813E-8	 4.3070E-8	 4.3030E-8	 4.2640E-8	 4.2510E-8	-1.425094E-12	-1.696945E-12	-1.503421E-12	-1.345953E-12	-1.154058E-12	  -19.7210	   12.0136	    4.3903	  -27.8721	
    2.0000	 6.3370E-8	 6.3520E-8	 6.3540E-8	 6.3270E-8	 6.3150E-8	-1.737942E-12	-1.788411E-12	-1.855025E-12	-2.090920E-12	-1.217412E-12	  -20.0415	   11.9756	    4.3482	  -28.0022	
    3.0000	 8.0478E-8	 8.1090E-8	 8.0380E-8	 8.0360E-8	 8.0080E-8	-1.726993E-12	-1.744817E-12	-1.618313E-12	-1.801246E-12	-1.743595E-12	  -20.1763	   12.0505	    4.3096	  -28.0449	
    4.0000	 9.5798E-8	 9.6380E-8	 9.5990E-8	 9.5690E-8	 9.5130E-8	-1.675250E-12	-1.870913E-12	-1.419288E-12	-1.628499E-12	-1.782300E-12	  -20.4281	   12.1351	    4.2856	  -28.0451	
    5.0000	 1.0907E-7	 1.0910E-7	 1.0920E-7	 1.0920E-7	 1.0880E-7	-1.954943E-12	-2.592046E-12	-1.647036E-12	-1.491605E-12	-2.089086E-12	  -20.5883	   12.1685	    4.3042	  -27.9749	
    6.0000	 1.2168E-7	 1.2160E-7	 1.2170E-7	 1.2190E-7	 1.2150E-7	-1.705195E-12	-1.729946E-12	-1.415825E-12	-1.808578E-12	-1.866431E-12	  -20.7307	   12.2781	    4.3820	  -27.7052	
    7.0000	 1.3438E-7	 1.3520E-7	 1.3380E-7	 1.3410E-7	 1.3440E-7	-1.950666E-12	-1.846061E-12	-2.444968E-12	-1.625239E-12	-1.886395E-12	  -20.9316	   12.3267	    4.4889	  -27.4114	
    8.0000	 1.4615E-7	 1.4620E-7	 1.4580E-7	 1.4620E-7	 1.4640E-7	-2.168330E-12	-2.273852E-12	-2.622603E-12	-1.897192E-12	-1.879673E-12	  -21.0130	   12.3203	    4.5370	  -27.3011	
    9.0000	 1.5812E-7	 1.5860E-7	 1.5780E-7	 1.5830E-7	 1.5780E-7	-1.749451E-12	-2.127792E-12	-1.594275E-12	-1.394843E-12	-1.880895E-12	  -21.1249	   12.3088	    4.5145	  -27.3627	
   10.0000	 1.7170E-7	 1.7260E-7	 1.7180E-7	 1.7100E-7	 1.7140E-7	-2.041012E-12	-1.894340E-12	-2.032252E-12	-1.860525E-12	-2.376929E-12	  -21.1935	   12.2832	    4.5256	  -27.3544	
   20.0000	 3.2242E-7	 3.2470E-7	 3.2300E-7	 3.2100E-7	 3.2100E-7	-2.183353E-12	-1.812652E-12	-2.201534E-12	-2.632788E-12	-2.086438E-12	  -21.2164	   12.3410	    4.5408	  -27.2774	
   30.0000	 4.6780E-7	 4.6720E-7	 4.6870E-7	 4.6830E-7	 4.6700E-7	-2.045493E-12	-2.061178E-12	-1.830986E-12	-2.209276E-12	-2.080531E-12	  -21.2469	   12.3759	    4.5171	  -27.3091	
   40.0000	 6.0323E-7	 6.0400E-7	 6.0360E-7	 6.0190E-7	 6.0340E-7	-1.782096E-12	-1.903710E-12	-1.855025E-12	-1.360213E-12	-2.009436E-12	  -21.2367	   12.2983	    4.4943	  -27.4186	
   50.0000	 7.2350E-7	 7.2320E-7	 7.2210E-7	 7.2400E-7	 7.2470E-7	-2.060211E-12	-2.222109E-12	-1.963805E-12	-1.900655E-12	-2.154274E-12	  -21.1986	   12.3608	    4.4655	  -27.4436	
   60.0000	 8.4585E-7	 8.4310E-7	 8.4420E-7	 8.4830E-7	 8.4780E-7	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	    0.0000	    0.0000	    0.0000	    0.0000	
