GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_320min
Date/Time: 8/23/2021 5:55:46 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated, Annealed at 60C for 320 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	5.651E-11	1.915E-11	2.613E+6	1.644E+6	  -19.8787	   10.3045	    6.4301	  -24.9542	
    2.0000	5.593E-11	1.914E-11	2.652E+6	1.662E+6	  -19.9219	   10.3139	    6.3820	  -25.0300	
    3.0000	5.526E-11	1.913E-11	2.715E+6	1.677E+6	  -19.9804	   10.2524	    6.3412	  -25.1460	
    4.0000	5.486E-11	1.912E-11	2.774E+6	1.699E+6	  -20.0771	   10.1850	    6.2704	  -25.3192	
    5.0000	5.469E-11	1.912E-11	2.813E+6	1.710E+6	  -20.1101	   10.2423	    6.2157	  -25.3734	
    6.0000	5.514E-11	1.913E-11	2.832E+6	1.705E+6	  -20.1203	   10.1853	    6.1907	  -25.4595	
    7.0000	5.584E-11	1.914E-11	2.838E+6	1.695E+6	  -20.1229	   10.1791	    6.0882	  -25.6471	
    8.0000	5.628E-11	1.915E-11	2.829E+6	1.693E+6	  -20.1178	   10.2247	    6.0538	  -25.6759	
    9.0000	5.706E-11	1.917E-11	2.809E+6	1.671E+6	  -20.1000	   10.2723	    6.0111	  -25.7186	
   10.0000	5.805E-11	1.920E-11	2.773E+6	1.645E+6	  -20.0287	   10.3018	    5.9257	  -25.8536	
   20.0000	5.823E-11	1.919E-11	2.814E+6	1.654E+6	  -19.9830	   10.3018	    5.8880	  -25.9233	
   30.0000	5.802E-11	1.920E-11	2.845E+6	1.663E+6	  -19.9041	   10.2742	    5.8374	  -26.0377	
   40.0000	5.779E-11	1.922E-11	2.901E+6	1.683E+6	  -19.8761	   10.1244	    5.8083	  -26.2015	
   50.0000	5.749E-11	1.921E-11	2.994E+6	1.693E+6	  -19.8634	   10.1244	    5.7707	  -26.2724	
   60.0000	5.711E-11	1.921E-11	3.124E+6	1.728E+6	  -19.8659	   10.1458	    5.7353	  -26.3238	
   70.0000	5.660E-11	1.920E-11	3.253E+6	1.755E+6	  -19.9117	   10.1458	    5.6986	  -26.3937	
   80.0000	5.582E-11	1.919E-11	3.433E+6	1.803E+6	  -19.9779	   10.2562	    5.6312	  -26.4428	
   90.0000	5.473E-11	1.917E-11	3.628E+6	1.849E+6	  -20.0160	   10.2790	    5.5965	  -26.4935	
  100.0000	5.383E-11	1.914E-11	3.844E+6	1.907E+6	  -20.0694	   10.2216	    5.5822	  -26.5629	
  120.0000	5.055E-11	1.914E-11	4.322E+6	2.056E+6	  -20.1051	   10.1159	    5.5054	  -26.7901	
  140.0000	4.758E-11	1.916E-11	4.849E+6	2.205E+6	  -20.1127	   10.1239	    5.4994	  -26.7961	
  160.0000	4.538E-11	1.917E-11	5.431E+6	2.329E+6	  -20.1025	   10.0736	    5.4671	  -26.8964	
  180.0000	4.368E-11	1.916E-11	5.941E+6	2.439E+6	  -20.0745	   10.0743	    5.4108	  -27.0079	
  200.0000	4.180E-11	1.912E-11	6.566E+6	2.563E+6	  -20.0440	   10.1369	    5.3887	  -27.0070	
  220.0000	4.049E-11	1.909E-11	7.046E+6	2.674E+6	  -20.0211	   10.1052	    5.3801	  -27.0471	
  240.0000	3.936E-11	1.906E-11	7.464E+6	2.792E+6	  -19.9830	   10.1258	    5.3719	  -27.0487	
  260.0000	3.810E-11	1.900E-11	7.920E+6	2.967E+6	  -19.9270	   10.1172	    5.3681	  -27.0626	
  280.0000	3.701E-11	1.897E-11	8.436E+6	3.081E+6	  -19.9295	   10.0705	    5.3681	  -27.0964	
  300.0000	3.593E-11	1.892E-11	8.837E+6	3.256E+6	  -19.9245	   10.1348	    5.3612	  -27.0639	
  320.0000	3.469E-11	1.885E-11	9.397E+6	3.455E+6	  -19.9550	   10.1563	    5.3362	  -27.0988	
  340.0000	3.385E-11	1.880E-11	1.011E+7	3.646E+6	  -19.9702	   10.1744	    5.3283	  -27.1018	
  360.0000	3.264E-11	1.875E-11	1.062E+7	3.886E+6	  -20.0008	   10.1524	    5.2884	  -27.1988	
  380.0000	3.169E-11	1.870E-11	1.133E+7	4.115E+6	  -20.0313	   10.0994	    5.2517	  -27.3122	
  400.0000	3.092E-11	1.867E-11	1.207E+7	4.346E+6	  -20.0313	   10.0998	    5.2220	  -27.3731	
  420.0000	2.967E-11	1.863E-11	1.233E+7	4.622E+6	  -20.0567	   10.0946	    5.1973	  -27.4279	
  440.0000	2.910E-11	1.860E-11	1.392E+7	4.863E+6	  -20.0491	   10.0778	    5.2030	  -27.4283	
  460.0000	2.883E-11	1.857E-11	1.409E+7	5.146E+6	  -20.0313	   10.0944	    5.1913	  -27.4406	
  480.0000	2.813E-11	1.854E-11	1.538E+7	5.371E+6	  -20.0364	   10.0375	    5.1904	  -27.4835	
  500.0000	3.084E-11	1.851E-11	1.931E+7	5.708E+6	  -20.0262	   10.0944	    5.1863	  -27.4510	
  520.0000	2.727E-11	1.849E-11	1.627E+7	5.958E+6	  -20.0033	   10.1287	    5.1654	  -27.4698	
  540.0000	2.664E-11	1.847E-11	1.758E+7	6.274E+6	  -19.9931	   10.0086	    5.1607	  -27.5662	
  560.0000	2.621E-11	1.844E-11	1.879E+7	6.633E+6	  -19.9626	   10.0044	    5.1335	  -27.6261	
  580.0000	2.576E-11	1.841E-11	1.955E+7	7.036E+6	  -19.9524	   10.0436	    5.1040	  -27.6597	
  600.0000	2.514E-11	1.837E-11	1.987E+7	7.571E+6	  -19.9473	   10.1027	    5.0917	  -27.6431	
  620.0000	2.473E-11	1.835E-11	2.090E+7	8.045E+6	  -19.9652	   10.0684	    5.0787	  -27.6953	
  640.0000	2.430E-11	1.832E-11	2.367E+7	8.589E+6	  -19.9728	   10.0173	    5.0784	  -27.7327	
  660.0000	2.352E-11	1.829E-11	2.346E+7	9.257E+6	  -19.9931	   10.0340	    5.0715	  -27.7354	
  680.0000	2.325E-11	1.826E-11	2.461E+7	9.956E+6	  -20.0059	    9.9776	    5.0585	  -27.8035	
  700.0000	2.240E-11	1.824E-11	2.670E+7	1.060E+7	  -20.0186	   10.0500	    5.0487	  -27.7723	
  720.0000	2.260E-11	1.823E-11	2.899E+7	1.143E+7	  -20.0567	   10.0610	    5.0215	  -27.8223	
  740.0000	2.229E-11	1.821E-11	2.833E+7	1.191E+7	  -20.0567	   10.0303	    5.0098	  -27.8695	
  760.0000	2.173E-11	1.821E-11	2.612E+7	1.241E+7	  -20.0567	    9.9563	    4.9927	  -27.9592	
  780.0000	2.135E-11	1.820E-11	2.590E+7	1.292E+7	  -20.0262	    9.9432	    4.9633	  -28.0320	
  800.0000	2.100E-11	1.820E-11	2.523E+7	1.331E+7	  -20.0084	    9.9265	    4.9510	  -28.0707	
  820.0000	2.111E-11	1.820E-11	2.381E+7	1.370E+7	  -19.9957	    9.8840	    4.9396	  -28.1258	
  840.0000	2.058E-11	1.820E-11	2.350E+7	1.413E+7	  -19.9524	    9.8718	    4.9216	  -28.1737	
  860.0000	2.033E-11	1.821E-11	2.309E+7	1.441E+7	  -19.9575	    9.9505	    4.9181	  -28.1248	
  880.0000	1.982E-11	1.822E-11	2.255E+7	1.464E+7	  -19.9473	    9.8405	    4.8991	  -28.2451	
  900.0000	1.978E-11	1.823E-11	2.141E+7	1.454E+7	  -19.9575	    9.7905	    4.8738	  -28.3363	
  920.0000	1.997E-11	1.826E-11	2.138E+7	1.416E+7	  -19.9702	    9.8938	    4.8529	  -28.3081	
  940.0000	1.997E-11	1.829E-11	1.893E+7	1.360E+7	  -19.9880	    9.9258	    4.8416	  -28.3102	
  960.0000	1.894E-11	1.835E-11	1.433E+7	1.122E+7	  -20.0313	    9.8783	    4.8416	  -28.3443	
  980.0000	1.954E-11	1.840E-11	1.249E+7	9.809E+6	  -20.0389	    9.9618	    4.8482	  -28.2698	
 1000.0000	2.066E-11	1.846E-11	1.075E+7	8.506E+6	  -20.0465	    9.9817	    4.8416	  -28.2702	
 1020.0000	2.142E-11	1.856E-11	9.547E+6	7.310E+6	  -20.0745	    9.9686	    4.8327	  -28.2992	
 1040.0000	2.253E-11	1.871E-11	8.802E+6	6.326E+6	  -20.0542	    9.9722	    4.8286	  -28.3057	
 1060.0000	2.378E-11	1.886E-11	8.050E+6	5.625E+6	  -20.0313	    9.9801	    4.8213	  -28.3161	
 1080.0000	2.456E-11	1.906E-11	7.812E+6	5.104E+6	  -20.0211	    9.9352	    4.8106	  -28.3721	
 1100.0000	2.491E-11	1.925E-11	7.375E+6	4.679E+6	  -19.9880	    9.8495	    4.8251	  -28.4013	
