GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_320min
Date/Time: 8/24/2021 11:30:04 AM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated, Annealed at 60C for 320 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	5.829E-11	3.878E-12	2.639E+6	2.919E+8	  -19.9702	   15.5087	    5.8735	  -22.1597	
    2.0000	3.984E-12	3.878E-12	2.551E+9	2.957E+8	  -19.9652	   15.5181	    5.8760	  -22.1480	
    3.0000	3.983E-12	3.879E-12	2.585E+9	2.946E+8	  -19.9880	   15.4812	    5.9197	  -22.0910	
    4.0000	3.983E-12	3.879E-12	2.537E+9	2.958E+8	  -20.0084	   15.4724	    5.9447	  -22.0497	
    5.0000	3.981E-12	3.879E-12	2.643E+9	2.950E+8	  -20.0211	   15.5338	    6.0085	  -21.8839	
    6.0000	3.981E-12	3.879E-12	2.725E+9	2.972E+8	  -20.0262	   15.5385	    6.0218	  -21.8554	
    7.0000	3.983E-12	3.879E-12	2.625E+9	2.959E+8	  -20.0135	   15.3900	    6.0123	  -21.9814	
    8.0000	3.983E-12	3.879E-12	2.589E+9	2.944E+8	  -19.9677	   15.4329	    5.9896	  -21.9931	
    9.0000	3.985E-12	3.879E-12	2.537E+9	2.954E+8	  -19.8888	   15.4556	    5.9633	  -22.0264	
   10.0000	3.984E-12	3.879E-12	2.515E+9	2.950E+8	  -19.8609	   15.4880	    5.9658	  -21.9981	
   20.0000	3.983E-12	3.877E-12	2.729E+9	3.062E+8	  -19.8634	   15.4164	    5.9820	  -22.0195	
   30.0000	3.982E-12	3.877E-12	2.571E+9	3.080E+8	  -19.9066	   15.3960	    6.0104	  -21.9805	
   40.0000	3.986E-12	3.880E-12	2.507E+9	2.835E+8	  -19.9372	   15.4073	    6.0009	  -21.9902	
   50.0000	3.980E-12	3.881E-12	2.524E+9	2.827E+8	  -20.0237	   15.4092	    6.0247	  -21.9441	
   60.0000	3.979E-12	3.874E-12	2.592E+9	3.004E+8	  -20.0618	   15.4092	    6.0648	  -21.8687	
   70.0000	3.984E-12	3.874E-12	2.391E+9	3.011E+8	  -20.0923	   15.4316	    6.1436	  -21.7059	
   80.0000	3.984E-12	3.874E-12	2.565E+9	3.013E+8	  -20.0872	   15.4219	    6.1467	  -21.7071	
   90.0000	3.982E-12	3.874E-12	2.380E+9	3.010E+8	  -20.0542	   15.4049	    6.1828	  -21.6530	
  100.0000	3.984E-12	3.875E-12	2.475E+9	2.990E+8	  -19.9652	   15.3883	    6.1932	  -21.6459	
  120.0000	3.983E-12	3.881E-12	2.627E+9	2.730E+8	  -19.6981	   15.4231	    6.2040	  -21.6007	
  140.0000	3.986E-12	3.884E-12	2.615E+9	2.858E+8	  -19.5810	   15.3926	    6.1926	  -21.6440	
  160.0000	3.984E-12	3.882E-12	2.440E+9	2.797E+8	  -19.4564	   15.3838	    6.1822	  -21.6695	
