GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_40min_at_60C
Date/Time: 8/2/2021 2:29:57 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated and Annealed at 60C for 30 Minutes
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.738E-11	2.019E-11	1.714E+6	1.455E+6	  -20.0059	    8.1489	    8.8880	  -22.9678	
    2.0000	4.136E-11	2.024E-11	1.816E+6	1.476E+6	  -19.9855	    8.1263	    8.9001	  -22.9699	
    3.0000	4.402E-11	2.026E-11	1.884E+6	1.506E+6	  -19.9855	    8.1129	    8.9159	  -22.9602	
    4.0000	4.572E-11	2.028E-11	1.953E+6	1.532E+6	  -19.9906	    8.1453	    8.9096	  -22.9434	
    5.0000	4.685E-11	2.029E-11	2.022E+6	1.555E+6	  -19.9931	    8.1657	    8.9077	  -22.9302	
    6.0000	4.729E-11	2.030E-11	2.101E+6	1.582E+6	  -20.0008	    8.1240	    8.9051	  -22.9653	
    7.0000	4.799E-11	2.031E-11	2.155E+6	1.614E+6	  -19.9982	    8.1331	    8.9016	  -22.9627	
    8.0000	4.813E-11	2.035E-11	2.223E+6	1.626E+6	  -19.9931	    8.1546	    8.9032	  -22.9443	
    9.0000	4.827E-11	2.037E-11	2.286E+6	1.662E+6	  -20.0135	    8.1560	    8.9001	  -22.9472	
   10.0000	4.825E-11	2.040E-11	2.358E+6	1.684E+6	  -20.0211	    8.1700	    8.9086	  -22.9257	
   20.0000	4.782E-11	2.058E-11	3.005E+6	1.863E+6	  -20.0262	    8.1636	    8.9064	  -22.9334	
   30.0000	4.679E-11	2.063E-11	3.489E+6	1.987E+6	  -20.0313	    8.1901	    8.9010	  -22.9199	
   40.0000	4.552E-11	2.063E-11	3.921E+6	2.096E+6	  -20.0287	    8.1926	    8.8909	  -22.9309	
   50.0000	4.437E-11	2.062E-11	4.303E+6	2.202E+6	  -20.0237	    8.1926	    8.8950	  -22.9257	
   60.0000	4.333E-11	2.063E-11	4.652E+6	2.281E+6	  -19.9982	    8.1572	    8.9029	  -22.9427	
   70.0000	4.232E-11	2.059E-11	4.984E+6	2.398E+6	  -19.9957	    8.1345	    8.9013	  -22.9620	
   80.0000	4.141E-11	2.058E-11	5.294E+6	2.484E+6	  -19.9753	    8.0989	    8.8960	  -22.9960	
   90.0000	4.046E-11	2.055E-11	5.608E+6	2.588E+6	  -19.9753	    8.0696	    8.9054	  -23.0064	
  100.0000	3.972E-11	2.052E-11	5.887E+6	2.690E+6	  -19.9601	    8.0909	    8.8915	  -23.0077	
  120.0000	3.812E-11	2.046E-11	6.483E+6	2.895E+6	  -19.9753	    8.0815	    8.8852	  -23.0229	
  140.0000	3.688E-11	2.041E-11	7.008E+6	3.083E+6	  -19.9804	    8.1587	    8.8729	  -22.9796	
  160.0000	3.571E-11	2.035E-11	7.539E+6	3.289E+6	  -19.9906	    8.1400	    8.8529	  -23.0190	
  180.0000	3.467E-11	2.030E-11	8.055E+6	3.502E+6	  -19.9931	    8.1471	    8.8571	  -23.0084	
  200.0000	3.377E-11	2.023E-11	8.568E+6	3.759E+6	  -19.9982	    8.0813	    8.8596	  -23.0555	
  220.0000	3.280E-11	2.016E-11	9.136E+6	4.083E+6	  -20.0186	    8.0950	    8.8624	  -23.0414	
  240.0000	3.189E-11	2.011E-11	9.733E+6	4.347E+6	  -20.0186	    8.1057	    8.8472	  -23.0525	
  260.0000	3.105E-11	2.007E-11	1.035E+7	4.673E+6	  -20.0211	    8.0866	    8.8454	  -23.0695	
  280.0000	3.018E-11	2.002E-11	1.105E+7	5.039E+6	  -20.0059	    8.0657	    8.8457	  -23.0850	
  300.0000	2.934E-11	1.998E-11	1.181E+7	5.449E+6	  -20.0033	    8.0657	    8.8327	  -23.1015	
  320.0000	2.853E-11	1.994E-11	1.268E+7	5.920E+6	  -20.0313	    8.0430	    8.8219	  -23.1325	
  340.0000	2.778E-11	1.990E-11	1.364E+7	6.456E+6	  -19.9957	    7.9738	    8.8071	  -23.2043	
  360.0000	2.699E-11	1.987E-11	1.477E+7	7.075E+6	  -20.0008	    8.0102	    8.8109	  -23.1716	
  380.0000	2.628E-11	1.984E-11	1.600E+7	7.848E+6	  -20.0059	    7.9968	    8.8118	  -23.1806	
  400.0000	2.555E-11	1.982E-11	1.747E+7	8.678E+6	  -20.0059	    8.0098	    8.7973	  -23.1893	
