GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_460min
Date/Time: 8/24/2021 5:12:16 PM
Sensor Name: Pin153
Type: N
Annealing Status: Irradiated, Annealed at 60C for 460 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	4.066E-11	2.034E-11	1.621E+6	1.347E+6	  -20.0262	   10.0026	    4.3735	  -29.3369	
    2.0000	4.479E-11	2.037E-11	1.706E+6	1.382E+6	  -20.0033	    9.9873	    4.3605	  -29.3791	
    3.0000	4.705E-11	2.038E-11	1.783E+6	1.406E+6	  -19.9931	   10.0361	    4.3216	  -29.4393	
    4.0000	4.848E-11	2.039E-11	1.853E+6	1.435E+6	  -19.9830	   10.0286	    4.2938	  -29.5129	
    5.0000	4.970E-11	2.040E-11	1.908E+6	1.455E+6	  -19.9804	    9.9664	    4.2875	  -29.5725	
    6.0000	4.992E-11	2.041E-11	1.984E+6	1.488E+6	  -19.9779	    9.9384	    4.2486	  -29.6885	
    7.0000	5.082E-11	2.042E-11	2.027E+6	1.512E+6	  -19.9830	    9.9617	    4.2324	  -29.7121	
    8.0000	5.100E-11	2.044E-11	2.089E+6	1.541E+6	  -19.9957	    9.8595	    4.2113	  -29.8372	
    9.0000	5.108E-11	2.047E-11	2.153E+6	1.563E+6	  -19.9906	    9.9040	    4.1964	  -29.8430	
   10.0000	5.086E-11	2.048E-11	2.226E+6	1.592E+6	  -19.9880	    9.7887	    4.1875	  -29.9467	
   20.0000	5.062E-11	2.060E-11	2.804E+6	1.767E+6	  -20.0008	    9.8475	    4.1664	  -29.9585	
