GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_50min
Date/Time: 8/2/2021 3:36:39 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated and Annealed at 60C for 50 Minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.720E-11	2.023E-11	1.752E+6	1.463E+6	  -20.0237	   11.3973	    3.9152	  -29.5249	
    2.0000	4.146E-11	2.027E-11	1.844E+6	1.495E+6	  -20.0084	   11.3933	    3.9127	  -29.5346	
    3.0000	4.377E-11	2.029E-11	1.931E+6	1.522E+6	  -20.0135	   11.4466	    3.9042	  -29.5204	
    4.0000	4.543E-11	2.030E-11	2.002E+6	1.548E+6	  -19.9830	   11.4358	    3.9042	  -29.5279	
    5.0000	4.645E-11	2.031E-11	2.073E+6	1.573E+6	  -19.9880	   11.4267	    3.8903	  -29.5720	
    6.0000	4.732E-11	2.032E-11	2.131E+6	1.597E+6	  -19.9779	   11.4313	    3.8789	  -29.5997	
    7.0000	4.771E-11	2.034E-11	2.196E+6	1.621E+6	  -19.9626	   11.3670	    3.8684	  -29.6731	
    8.0000	4.783E-11	2.037E-11	2.265E+6	1.649E+6	  -19.9550	   11.3688	    3.8457	  -29.7341	
    9.0000	4.765E-11	2.039E-11	2.342E+6	1.678E+6	  -19.9677	   11.3101	    3.8330	  -29.8098	
   10.0000	4.740E-11	2.042E-11	2.426E+6	1.701E+6	  -19.9880	   11.3238	    3.8074	  -29.8709	
   20.0000	4.672E-11	2.059E-11	3.103E+6	1.891E+6	  -19.9982	   11.3397	    3.8147	  -29.8397	
   30.0000	4.568E-11	2.059E-11	3.596E+6	2.049E+6	  -20.0059	   11.3644	    3.7970	  -29.8715	
   40.0000	4.436E-11	2.059E-11	4.041E+6	2.159E+6	  -20.0237	   11.3738	    3.7834	  -29.9027	
   50.0000	4.329E-11	2.057E-11	4.421E+6	2.277E+6	  -20.0287	   11.3251	    3.7650	  -29.9878	
   60.0000	4.227E-11	2.055E-11	4.776E+6	2.384E+6	  -20.0109	   11.3645	    3.7549	  -29.9887	
   70.0000	4.120E-11	2.053E-11	5.119E+6	2.493E+6	  -20.0160	   11.3792	    3.7441	  -30.0085	
   80.0000	4.032E-11	2.051E-11	5.431E+6	2.581E+6	  -20.0135	   11.3341	    3.7258	  -30.0916	
   90.0000	3.951E-11	2.048E-11	5.730E+6	2.695E+6	  -20.0008	   11.3341	    3.7109	  -30.1336	
  100.0000	3.859E-11	2.045E-11	6.047E+6	2.788E+6	  -19.9779	   11.3011	    3.7068	  -30.1682	
  120.0000	3.720E-11	2.040E-11	6.616E+6	2.999E+6	  -19.9830	   11.2826	    3.6983	  -30.2052	
  140.0000	3.597E-11	2.034E-11	7.149E+6	3.213E+6	  -19.9779	   11.2594	    3.6980	  -30.2223	
  160.0000	3.486E-11	2.026E-11	7.677E+6	3.462E+6	  -19.9931	   11.2498	    3.6932	  -30.2425	
  180.0000	3.386E-11	2.020E-11	8.207E+6	3.711E+6	  -20.0008	   11.2510	    3.6768	  -30.2884	
  200.0000	3.287E-11	2.014E-11	8.767E+6	3.993E+6	  -20.0008	   11.1929	    3.6746	  -30.3351	
  220.0000	3.195E-11	2.008E-11	9.340E+6	4.278E+6	  -20.0033	   11.2176	    3.6641	  -30.3478	
