GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_60min
Date/Time: 8/3/2021 1:35:34 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated and Annealed at 60C for 60 Minutes
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.838E-11	2.028E-11	1.680E+6	1.407E+6	  -19.9295	   10.6157	    4.1505	  -29.4570	
    2.0000	4.311E-11	2.034E-11	1.764E+6	1.427E+6	  -19.9295	   10.6379	    4.1382	  -29.4729	
    3.0000	4.533E-11	2.035E-11	1.862E+6	1.463E+6	  -19.9473	   10.6366	    4.1426	  -29.4624	
    4.0000	4.663E-11	2.036E-11	1.952E+6	1.495E+6	  -19.9753	   10.6603	    4.1474	  -29.4337	
    5.0000	4.779E-11	2.037E-11	2.018E+6	1.517E+6	  -20.0008	   10.6323	    4.1467	  -29.4550	
    6.0000	4.827E-11	2.038E-11	2.094E+6	1.551E+6	  -20.0287	   10.6345	    4.1382	  -29.4753	
    7.0000	4.878E-11	2.040E-11	2.153E+6	1.574E+6	  -20.0491	   10.5962	    4.1322	  -29.5176	
    8.0000	4.851E-11	2.042E-11	2.237E+6	1.609E+6	  -20.0542	   10.5767	    4.1224	  -29.5564	
    9.0000	4.892E-11	2.044E-11	2.292E+6	1.636E+6	  -20.0542	   10.5656	    4.1211	  -29.5675	
   10.0000	4.877E-11	2.048E-11	2.366E+6	1.655E+6	  -20.0262	   10.5582	    4.0993	  -29.6287	
   20.0000	4.794E-11	2.067E-11	3.030E+6	1.822E+6	  -20.0211	   10.5780	    4.0955	  -29.6246	
   30.0000	4.661E-11	2.069E-11	3.531E+6	1.964E+6	  -20.0033	   10.5780	    4.0873	  -29.6458	
   40.0000	4.558E-11	2.069E-11	3.935E+6	2.072E+6	  -19.9855	   10.5390	    4.0746	  -29.7059	
   50.0000	4.440E-11	2.066E-11	4.314E+6	2.193E+6	  -19.9728	   10.5465	    4.0617	  -29.7342	
   60.0000	4.303E-11	2.066E-11	4.688E+6	2.276E+6	  -19.9702	   10.5427	    4.0515	  -29.7632	
   70.0000	4.212E-11	2.062E-11	5.004E+6	2.387E+6	  -19.9677	   10.4901	    4.0440	  -29.8199	
   80.0000	4.104E-11	2.058E-11	5.331E+6	2.511E+6	  -19.9753	   10.5194	    4.0446	  -29.7977	
   90.0000	4.017E-11	2.055E-11	5.625E+6	2.609E+6	  -19.9880	   10.5318	    4.0449	  -29.7882	
  100.0000	3.925E-11	2.052E-11	5.930E+6	2.706E+6	  -19.9931	   10.5576	    4.0446	  -29.7709	
  120.0000	3.770E-11	2.046E-11	6.511E+6	2.916E+6	  -20.0186	   10.5602	    4.0253	  -29.8194	
  140.0000	3.649E-11	2.038E-11	7.023E+6	3.139E+6	  -20.0211	   10.5324	    4.0177	  -29.8588	
  160.0000	3.534E-11	2.032E-11	7.546E+6	3.359E+6	  -20.0313	   10.5291	    4.0212	  -29.8520	
  180.0000	3.435E-11	2.025E-11	8.062E+6	3.610E+6	  -20.0262	   10.5440	    3.9997	  -29.8980	
  200.0000	3.326E-11	2.019E-11	8.635E+6	3.859E+6	  -20.0262	   10.5508	    3.9851	  -29.9316	
  220.0000	3.230E-11	2.013E-11	9.222E+6	4.153E+6	  -20.0237	   10.5508	    3.9921	  -29.9132	
  240.0000	3.141E-11	2.008E-11	9.837E+6	4.481E+6	  -20.0160	   10.4745	    3.9848	  -29.9859	
  260.0000	3.050E-11	2.003E-11	1.052E+7	4.836E+6	  -19.9982	   10.5221	    3.9861	  -29.9492	
  280.0000	2.965E-11	1.997E-11	1.127E+7	5.302E+6	  -19.9830	   10.5436	    4.0079	  -29.8766	
  300.0000	2.873E-11	1.993E-11	1.218E+7	5.755E+6	  -19.9753	   10.5495	    4.0114	  -29.8634	
  320.0000	2.789E-11	1.989E-11	1.316E+7	6.328E+6	  -19.9728	   10.5679	    4.0114	  -29.8504	
  340.0000	2.707E-11	1.985E-11	1.432E+7	6.998E+6	  -19.9702	   10.5654	    4.0076	  -29.8622	
  360.0000	2.632E-11	1.982E-11	1.561E+7	7.758E+6	  -19.9753	   10.5545	    3.9965	  -29.8989	
  380.0000	2.555E-11	1.980E-11	1.712E+7	8.647E+6	  -19.9855	   10.5545	    4.0000	  -29.8898	
  400.0000	2.480E-11	1.977E-11	1.896E+7	9.682E+6	  -19.9982	   10.4938	    3.9864	  -29.9682	
  420.0000	2.411E-11	1.976E-11	2.106E+7	1.082E+7	  -20.0033	   10.4968	    3.9763	  -29.9929	
  440.0000	2.346E-11	1.975E-11	2.358E+7	1.210E+7	  -20.0160	   10.4968	    3.9681	  -30.0146	
  460.0000	2.294E-11	1.973E-11	2.625E+7	1.352E+7	  -20.0186	   10.5169	    3.9317	  -30.0973	
  480.0000	2.245E-11	1.973E-11	2.961E+7	1.506E+7	  -20.0135	   10.5241	    3.9399	  -30.0703	
  500.0000	2.204E-11	1.972E-11	3.335E+7	1.677E+7	  -20.0135	   10.5124	    3.9535	  -30.0423	
  520.0000	2.172E-11	1.971E-11	3.726E+7	1.846E+7	  -20.0135	   10.5608	    3.9399	  -30.0446	
  540.0000	2.141E-11	1.971E-11	4.204E+7	2.020E+7	  -20.0033	   10.5148	    3.9447	  -30.0642	
  560.0000	2.119E-11	1.971E-11	4.648E+7	2.193E+7	  -20.0059	   10.5267	    3.9424	  -30.0617	
  580.0000	2.101E-11	1.971E-11	5.092E+7	2.343E+7	  -19.9957	   10.5467	    3.9298	  -30.0815	
  600.0000	2.086E-11	1.972E-11	5.497E+7	2.469E+7	  -19.9957	   10.5266	    3.9184	  -30.1261	
  620.0000	2.075E-11	1.973E-11	5.781E+7	2.572E+7	  -19.9906	   10.5399	    3.9124	  -30.0973	
  640.0000	2.068E-11	1.975E-11	5.950E+7	2.644E+7	  -19.9855	   10.5376	    3.9111	  -30.1379	
  660.0000	2.068E-11	1.977E-11	5.865E+7	2.659E+7	  -19.9931	   10.5307	    3.8991	  -30.1750	
  680.0000	2.076E-11	1.980E-11	5.628E+7	2.595E+7	  -19.9982	   10.5064	    3.8956	  -30.2014	
  700.0000	2.090E-11	1.982E-11	5.443E+7	2.471E+7	  -19.9957	   10.4764	    3.8795	  -30.2660	
  720.0000	2.112E-11	1.986E-11	5.251E+7	2.266E+7	  -20.0059	   10.4742	    3.8754	  -30.2786	
  740.0000	2.132E-11	1.993E-11	5.120E+7	2.016E+7	  -20.0084	   10.4524	    3.8643	  -30.3238	
