GCD Test
Bias: 5000.000000
IV_D0_CO138_LargeDiode_GRConnected_Irradiated_70min
Date/Time: 8/3/2021 4:42:23 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated and Annealed at 60C for 70 Minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 3.2420E-7	 3.2420E-7	 3.2430E-7	 3.2340E-7	 3.2490E-7	3.264906E-7	3.272071E-7	3.264379E-7	3.263237E-7	3.259936E-7	  -19.9804	   10.8830	    4.5000	  -28.4091	
    2.0000	 4.4292E-7	 4.4570E-7	 4.4350E-7	 4.4090E-7	 4.4160E-7	4.411589E-7	4.421210E-7	4.413165E-7	4.410074E-7	4.401906E-7	  -19.9830	   10.9395	    4.4940	  -28.3833	
    3.0000	 5.3327E-7	 5.3520E-7	 5.3230E-7	 5.3450E-7	 5.3110E-7	5.333436E-7	5.306538E-7	5.337433E-7	5.345722E-7	5.344053E-7	  -19.9957	   10.9470	    4.4779	  -28.4163	
    4.0000	 6.1297E-7	 6.1100E-7	 6.1250E-7	 6.1320E-7	 6.1520E-7	6.146669E-7	6.163289E-7	6.174895E-7	6.142715E-7	6.105777E-7	  -20.0135	   11.0649	    4.5066	  -28.2642	
    5.0000	 6.8457E-7	 6.8650E-7	 6.8520E-7	 6.8160E-7	 6.8500E-7	6.835021E-7	6.861524E-7	6.831513E-7	6.815448E-7	6.831597E-7	  -20.0313	   11.2506	    4.5272	  -28.0836	
    6.0000	 7.5397E-7	 7.5410E-7	 7.5420E-7	 7.5380E-7	 7.5380E-7	7.517982E-7	7.535133E-7	7.520839E-7	7.511481E-7	7.504474E-7	  -20.0389	   11.2506	    4.5408	  -28.0515	
    7.0000	 8.1440E-7	 8.1330E-7	 8.1780E-7	 8.1550E-7	 8.1100E-7	8.141916E-7	8.106256E-7	8.162203E-7	8.137445E-7	8.161762E-7	  -20.0465	   11.3031	    4.5538	  -27.9836	
    8.0000	 8.7435E-7	 8.7460E-7	 8.7560E-7	 8.7410E-7	 8.7310E-7	8.746042E-7	8.745077E-7	8.739520E-7	8.751940E-7	8.747629E-7	  -20.0491	   11.4308	    4.5610	  -27.8758	
    9.0000	 9.3025E-7	 9.3130E-7	 9.3080E-7	 9.2680E-7	 9.3210E-7	9.329769E-7	9.319566E-7	9.347690E-7	9.339475E-7	9.312345E-7	  -20.0542	   11.4308	    4.5727	  -27.8483	
   10.0000	 9.8283E-7	 9.8460E-7	 9.8690E-7	 9.8150E-7	 9.7830E-7	9.831574E-7	9.819736E-7	9.839547E-7	9.842055E-7	9.824960E-7	  -20.0593	   11.4283	    4.5829	  -27.8263	
   20.0000	 1.4475E-6	 1.4490E-6	 1.4480E-6	 1.4470E-6	 1.4460E-6	1.452179E-6	1.451130E-6	1.454438E-6	1.452501E-6	1.450646E-6	  -20.0465	   11.4808	    4.5923	  -27.7668	
   30.0000	 1.8345E-6	 1.8400E-6	 1.8380E-6	 1.8310E-6	 1.8290E-6	1.827055E-6	1.825599E-6	1.830320E-6	1.826486E-6	1.825814E-6	  -20.0465	   11.5681	    4.6176	  -27.6456	
   40.0000	 2.1682E-6	 2.1740E-6	 2.1690E-6	 2.1690E-6	 2.1610E-6	2.173130E-6	2.164265E-6	2.173608E-6	2.177921E-6	2.176727E-6	  -20.0516	   11.5620	    4.6082	  -27.6721	
   50.0000	 2.4770E-6	 2.4750E-6	 2.4720E-6	 2.4790E-6	 2.4820E-6	2.474235E-6	2.483953E-6	2.471369E-6	2.472581E-6	2.469036E-6	  -20.0491	   11.5558	    4.6101	  -27.6721	
   60.0000	 2.7610E-6	 2.7630E-6	 2.7600E-6	 2.7670E-6	 2.7540E-6	2.747883E-6	2.746685E-6	2.744708E-6	2.747146E-6	2.752991E-6	  -20.0415	   11.5898	    4.5977	  -27.6767	
   70.0000	 3.0145E-6	 3.0190E-6	 3.0110E-6	 3.0130E-6	 3.0150E-6	3.004202E-6	3.001117E-6	2.999452E-6	2.997766E-6	3.018474E-6	  -20.0389	   11.5908	    4.6167	  -27.6317	
   80.0000	 3.2667E-6	 3.2600E-6	 3.2720E-6	 3.2720E-6	 3.2630E-6	3.258934E-6	3.275026E-6	3.262987E-6	3.249354E-6	3.248369E-6	  -20.0237	   11.6142	    4.6692	  -27.4933	
   90.0000	 3.4985E-6	 3.4980E-6	 3.5050E-6	 3.4900E-6	 3.5010E-6	3.498764E-6	3.498937E-6	3.494060E-6	3.492890E-6	3.509169E-6	  -20.0160	   11.6389	    4.6809	  -27.4488	
  100.0000	 3.7055E-6	 3.7060E-6	 3.7090E-6	 3.7010E-6	 3.7060E-6	3.715748E-6	3.704735E-6	3.714494E-6	3.720078E-6	3.723684E-6	  -20.0135	   11.6473	    4.6996	  -27.3999	
  120.0000	 4.1293E-6	 4.1240E-6	 4.1330E-6	 4.1370E-6	 4.1230E-6	4.135334E-6	4.118210E-6	4.138135E-6	4.138483E-6	4.146509E-6	  -20.0084	   11.6466	    4.6973	  -27.4055	
  140.0000	 4.4935E-6	 4.4920E-6	 4.4850E-6	 4.5000E-6	 4.4970E-6	4.491134E-6	4.475706E-6	4.485124E-6	4.498441E-6	4.505265E-6	  -19.9982	   11.7073	    4.6818	  -27.3979	
  160.0000	 4.8383E-6	 4.8450E-6	 4.8300E-6	 4.8360E-6	 4.8420E-6	4.845040E-6	4.844106E-6	4.844072E-6	4.842216E-6	4.849768E-6	  -19.9957	   11.7073	    4.6777	  -27.4073	
  180.0000	 5.1370E-6	 5.1200E-6	 5.1220E-6	 5.1470E-6	 5.1590E-6	5.148880E-6	5.154163E-6	5.151040E-6	5.137920E-6	5.152398E-6	  -19.9957	   11.7084	    4.6622	  -27.4423	
  200.0000	 5.4235E-6	 5.4440E-6	 5.4270E-6	 5.4100E-6	 5.4130E-6	5.405590E-6	5.415466E-6	5.401724E-6	5.401579E-6	5.403591E-6	  -19.9931	   11.7006	    4.6572	  -27.4596	
  220.0000	 5.6527E-6	 5.6430E-6	 5.6290E-6	 5.6720E-6	 5.6670E-6	5.659973E-6	5.666571E-6	5.662149E-6	5.650122E-6	5.661049E-6	  -19.9880	   11.6987	    4.6474	  -27.4836	
  240.0000	 5.9237E-6	 5.8870E-6	 5.9150E-6	 5.9570E-6	 5.9360E-6	5.889920E-6	5.908432E-6	5.898959E-6	5.874441E-6	5.877849E-6	  -19.9779	   11.6833	    4.6550	  -27.4770	
  260.0000	 6.1342E-6	 6.1490E-6	 6.1220E-6	 6.1470E-6	 6.1190E-6	6.105410E-6	6.108485E-6	6.103610E-6	6.100301E-6	6.109246E-6	  -19.9804	   11.6833	    4.6629	  -27.4588	
  280.0000	 6.3412E-6	 6.3710E-6	 6.3530E-6	 6.3230E-6	 6.3180E-6	6.331078E-6	6.325550E-6	6.338692E-6	6.335074E-6	6.324996E-6	  -19.9830	   11.6612	    4.6765	  -27.4431	
  300.0000	 6.5145E-6	 6.5050E-6	 6.5120E-6	 6.5260E-6	 6.5150E-6	6.517014E-6	6.508425E-6	6.513888E-6	6.522281E-6	6.523463E-6	  -19.9804	   11.6739	    4.6983	  -27.3839	
  320.0000	 6.6877E-6	 6.7210E-6	 6.6970E-6	 6.6810E-6	 6.6520E-6	6.660382E-6	6.637916E-6	6.658422E-6	6.662643E-6	6.682545E-6	  -19.9855	   11.7040	    4.7002	  -27.3581	
  340.0000	 6.8483E-6	 6.8460E-6	 6.8580E-6	 6.8500E-6	 6.8390E-6	6.852469E-6	6.850004E-6	6.856233E-6	6.854273E-6	6.849366E-6	  -19.9830	   11.7052	    4.6913	  -27.3776	
  360.0000	 7.0245E-6	 7.0220E-6	 7.0270E-6	 7.0170E-6	 7.0320E-6	7.001613E-6	7.012997E-6	7.004646E-6	6.990330E-6	6.998479E-6	  -19.9931	   11.6723	    4.6894	  -27.4053	
  380.0000	 7.1393E-6	 7.1340E-6	 7.1500E-6	 7.1530E-6	 7.1200E-6	7.132710E-6	7.103320E-6	7.148138E-6	7.148451E-6	7.130933E-6	  -19.9982	   11.6825	    4.6961	  -27.3828	
  400.0000	 7.2885E-6	 7.2930E-6	 7.3090E-6	 7.2760E-6	 7.2760E-6	7.266317E-6	7.263716E-6	7.270383E-6	7.272620E-6	7.258548E-6	  -19.9931	   11.6899	    4.7492	  -27.2562	
  420.0000	 7.4032E-6	 7.4090E-6	 7.4240E-6	 7.3890E-6	 7.3910E-6	7.386007E-6	7.375852E-6	7.381218E-6	7.390979E-6	7.395980E-6	  -19.9931	   11.7057	    4.8276	  -27.0679	
  440.0000	 7.5345E-6	 7.5240E-6	 7.5560E-6	 7.5320E-6	 7.5260E-6	7.503890E-6	7.517302E-6	7.499150E-6	7.485910E-6	7.513198E-6	  -19.9957	   11.6862	    4.9557	  -26.7984	
  460.0000	 7.6188E-6	 7.5900E-6	 7.6140E-6	 7.6540E-6	 7.6170E-6	7.613241E-6	7.596103E-6	7.608511E-6	7.628918E-6	7.619431E-6	  -19.9931	   11.6862	    4.9741	  -26.7583	
