GCD Test
Bias: 5000.000000
IV_D0_CO138_LargeDiode_GRConnected_Irradiated_80min
Date/Time: 8/4/2021 2:08:28 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated and Annealed at 60C for 80 minute
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 3.2077E-7	 3.2100E-7	 3.2120E-7	 3.2020E-7	 3.2070E-7	3.237721E-7	3.242093E-7	3.236070E-7	3.239341E-7	3.233379E-7	  -20.0364	    8.5334	    4.2034	  -30.7942	
    2.0000	 4.3660E-7	 4.3700E-7	 4.3620E-7	 4.3610E-7	 4.3710E-7	4.358296E-7	4.362692E-7	4.357454E-7	4.354586E-7	4.358451E-7	  -20.0415	    8.4966	    4.2271	  -30.7615	
    3.0000	 5.2515E-7	 5.2750E-7	 5.2450E-7	 5.2500E-7	 5.2360E-7	5.258750E-7	5.230193E-7	5.269069E-7	5.263666E-7	5.272070E-7	  -20.0542	    8.5487	    4.2502	  -30.6678	
    4.0000	 6.0688E-7	 6.0560E-7	 6.0590E-7	 6.0780E-7	 6.0820E-7	6.073436E-7	6.066637E-7	6.067028E-7	6.065719E-7	6.094360E-7	  -20.0694	    8.5694	    4.2887	  -30.5586	
    5.0000	 6.7980E-7	 6.8010E-7	 6.7970E-7	 6.8010E-7	 6.7930E-7	6.799018E-7	6.794799E-7	6.790581E-7	6.801298E-7	6.809394E-7	  -20.0822	    8.5997	    4.3027	  -30.5033	
    6.0000	 7.4403E-7	 7.4390E-7	 7.4260E-7	 7.4370E-7	 7.4590E-7	7.429258E-7	7.433791E-7	7.422614E-7	7.419575E-7	7.441051E-7	  -20.0949	    8.6102	    4.3071	  -30.4850	
    7.0000	 8.0633E-7	 8.0800E-7	 8.0910E-7	 8.0600E-7	 8.0220E-7	8.046584E-7	8.025657E-7	8.031737E-7	8.048136E-7	8.080807E-7	  -20.1025	    8.6636	    4.2944	  -30.4779	
    8.0000	 8.6580E-7	 8.6450E-7	 8.6510E-7	 8.6690E-7	 8.6670E-7	8.631234E-7	8.642509E-7	8.630518E-7	8.620061E-7	8.631848E-7	  -20.0949	    8.7310	    4.2698	  -30.4905	
    9.0000	 9.2160E-7	 9.2090E-7	 9.2060E-7	 9.2000E-7	 9.2490E-7	9.247670E-7	9.248583E-7	9.217270E-7	9.278262E-7	9.246567E-7	  -20.0949	    8.7493	    4.2742	  -30.4667	
   10.0000	 9.7798E-7	 9.7790E-7	 9.7760E-7	 9.7770E-7	 9.7870E-7	9.806289E-7	9.803397E-7	9.822901E-7	9.807902E-7	9.790955E-7	  -20.0923	    8.7749	    4.2653	  -30.4703	
   20.0000	 1.4358E-6	 1.4370E-6	 1.4340E-6	 1.4380E-6	 1.4340E-6	1.438389E-6	1.436982E-6	1.438192E-6	1.439321E-6	1.439062E-6	  -20.0847	    8.7710	    4.2707	  -30.4599	
   30.0000	 1.8210E-6	 1.8140E-6	 1.8230E-6	 1.8230E-6	 1.8240E-6	1.816876E-6	1.819650E-6	1.820060E-6	1.812513E-6	1.815280E-6	  -20.0669	    8.8442	    4.3027	  -30.3299	
