GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_90min
Date/Time: 8/4/2021 3:26:44 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated and Annealed at 60C for 90 minute
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	2.954E-11	1.854E-11	1.906E+6	1.763E+6	  -19.9728	    9.7831	    3.6898	  -31.2737	
    2.0000	3.375E-11	1.862E-11	2.020E+6	1.802E+6	  -19.9753	    9.7904	    3.6781	  -31.3016	
    3.0000	3.615E-11	1.867E-11	2.127E+6	1.824E+6	  -19.9957	    9.7450	    3.6619	  -31.3789	
    4.0000	3.809E-11	1.871E-11	2.205E+6	1.848E+6	  -20.0033	    9.7075	    3.6581	  -31.4157	
    5.0000	3.953E-11	1.875E-11	2.278E+6	1.860E+6	  -20.0008	    9.6825	    3.6414	  -31.4808	
    6.0000	4.034E-11	1.878E-11	2.364E+6	1.881E+6	  -20.0109	    9.6535	    3.6142	  -31.5787	
    7.0000	4.135E-11	1.880E-11	2.421E+6	1.906E+6	  -20.0135	    9.6627	    3.6107	  -31.5822	
    8.0000	4.183E-11	1.882E-11	2.495E+6	1.916E+6	  -20.0237	    9.6962	    3.5848	  -31.6336	
    9.0000	4.221E-11	1.884E-11	2.566E+6	1.928E+6	  -20.0237	    9.6501	    3.5661	  -31.7196	
   10.0000	4.275E-11	1.886E-11	2.625E+6	1.942E+6	  -20.0109	    9.6901	    3.5497	  -31.7396	
   20.0000	4.384E-11	1.900E-11	3.204E+6	2.070E+6	  -20.0033	    9.6877	    3.5247	  -31.8143	
   30.0000	4.341E-11	1.908E-11	3.695E+6	2.192E+6	  -20.0033	    9.6877	    3.5244	  -31.8152	
   40.0000	4.251E-11	1.912E-11	4.138E+6	2.308E+6	  -20.0033	    9.6330	    3.5079	  -31.9015	
