GCD Test
Bias: 5000.000000
CV_D0_CO139_LargeDiode_GRConnected_Irradiated
Date/Time: 7/28/2021 2:51:38 PM
Sensor Name: CO139
Type: N
Annealing Status: Irradiated, Not Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.857E-11	1.963E-11	1.573E+6	1.283E+6	  -19.3444	    7.0776	   10.9067	  -21.4798	
    2.0000	4.332E-11	1.967E-11	1.658E+6	1.313E+6	  -19.3190	    7.0776	   10.8966	  -21.4904	
    3.0000	4.585E-11	1.970E-11	1.737E+6	1.339E+6	  -19.3292	    7.1299	   10.8956	  -21.4506	
    4.0000	4.737E-11	1.971E-11	1.812E+6	1.372E+6	  -19.3444	    7.0963	   10.8960	  -21.4765	
    5.0000	4.829E-11	1.973E-11	1.885E+6	1.412E+6	  -19.3877	    7.0914	   10.8827	  -21.4942	
    6.0000	4.843E-11	1.977E-11	1.969E+6	1.444E+6	  -19.4716	    7.1301	   10.8643	  -21.4832	
    7.0000	4.878E-11	1.978E-11	2.033E+6	1.483E+6	  -19.5098	    7.1739	   10.8697	  -21.4434	
    8.0000	4.890E-11	1.982E-11	2.105E+6	1.506E+6	  -19.5632	    7.1254	   10.8725	  -21.4783	
    9.0000	4.891E-11	1.984E-11	2.174E+6	1.528E+6	  -19.6243	    7.1130	   10.8624	  -21.4985	
   10.0000	4.912E-11	1.989E-11	2.234E+6	1.538E+6	  -19.6319	    7.1457	   10.8782	  -21.4564	
   20.0000	4.916E-11	2.011E-11	2.826E+6	1.669E+6	  -19.6167	    7.1457	   10.8801	  -21.4544	
   30.0000	4.886E-11	2.015E-11	3.053E+6	1.714E+6	  -19.5912	    7.1187	   10.8814	  -21.4742	
   40.0000	4.845E-11	2.020E-11	3.355E+6	1.787E+6	  -19.5480	    7.1187	   10.8811	  -21.4745	
   50.0000	4.828E-11	2.027E-11	3.631E+6	1.837E+6	  -19.4742	    7.0401	   10.8887	  -21.5280	
   60.0000	4.745E-11	2.038E-11	3.942E+6	1.875E+6	  -19.4335	    7.1126	   10.8884	  -21.4717	
   70.0000	4.656E-11	2.048E-11	4.216E+6	1.922E+6	  -19.4030	    7.1126	   10.8805	  -21.4800	
   80.0000	4.558E-11	2.051E-11	4.523E+6	1.986E+6	  -19.3928	    7.1437	   10.8735	  -21.4630	
   90.0000	4.449E-11	2.054E-11	4.771E+6	2.057E+6	  -19.4080	    7.0781	   10.8789	  -21.5086	
  100.0000	4.348E-11	2.059E-11	5.075E+6	2.115E+6	  -19.4208	    7.1067	   10.8763	  -21.4889	
  120.0000	4.182E-11	2.071E-11	5.626E+6	2.234E+6	  -19.4386	    7.0272	   10.8757	  -21.5516	
  140.0000	4.050E-11	2.068E-11	6.111E+6	2.369E+6	  -19.4971	    7.0184	   10.8748	  -21.5595	
  160.0000	3.918E-11	2.067E-11	6.611E+6	2.503E+6	  -19.5174	    7.0753	   10.8779	  -21.5117	
  180.0000	3.802E-11	2.073E-11	7.096E+6	2.629E+6	  -19.5429	    7.1381	   10.8890	  -21.4511	
  200.0000	3.697E-11	2.067E-11	7.603E+6	2.787E+6	  -19.6243	    7.1295	   10.9004	  -21.4459	
  220.0000	3.594E-11	2.067E-11	8.075E+6	2.934E+6	  -19.6294	    7.1799	   10.9159	  -21.3904	
  240.0000	3.514E-11	2.075E-11	8.554E+6	3.099E+6	  -19.6370	    7.1065	   10.9190	  -21.4444	
  260.0000	3.430E-11	2.070E-11	9.015E+6	3.234E+6	  -19.5760	    7.1343	   10.9431	  -21.3976	
  280.0000	3.347E-11	2.073E-11	9.519E+6	3.410E+6	  -19.5124	    7.1434	   10.9431	  -21.3905	
  300.0000	3.258E-11	2.075E-11	1.009E+7	3.600E+6	  -19.4360	    7.2036	   10.9500	  -21.3362	
  320.0000	3.176E-11	2.082E-11	1.066E+7	3.848E+6	  -19.3063	    7.1570	   10.9662	  -21.3559	
  340.0000	3.094E-11	2.077E-11	1.133E+7	4.134E+6	  -19.2605	    7.1197	   10.9725	  -21.3784	
  360.0000	3.002E-11	2.074E-11	1.214E+7	4.419E+6	  -19.2172	    7.1389	   10.9747	  -21.3611	
  380.0000	2.915E-11	2.071E-11	1.300E+7	4.766E+6	  -19.1689	    7.1210	   10.9753	  -21.3745	
  400.0000	2.835E-11	2.071E-11	1.406E+7	5.215E+6	  -19.1765	    7.1354	   10.9858	  -21.3524	
  420.0000	2.747E-11	2.069E-11	1.518E+7	5.615E+6	  -19.2096	    7.1389	   10.9921	  -21.3431	
  440.0000	2.658E-11	2.065E-11	1.612E+7	6.114E+6	  -19.2859	    7.1364	   10.9848	  -21.3525	
  460.0000	2.588E-11	2.068E-11	1.718E+7	6.650E+6	  -19.3546	    7.1493	   10.9855	  -21.3418	
  480.0000	2.520E-11	2.063E-11	1.852E+7	6.949E+6	  -19.3928	    7.1592	   10.9937	  -21.3256	
  500.0000	2.483E-11	2.066E-11	1.935E+7	7.353E+6	  -19.4386	    7.1688	   10.9918	  -21.3200	
  520.0000	2.443E-11	2.070E-11	2.042E+7	7.627E+6	  -19.4793	    7.1346	   11.0202	  -21.3173	
  540.0000	2.417E-11	2.068E-11	2.105E+7	7.614E+6	  -19.4844	    7.1328	   11.0297	  -21.3088	
  560.0000	2.407E-11	2.083E-11	2.209E+7	7.663E+6	  -19.4716	    7.1560	   11.0459	  -21.2740	
  580.0000	2.390E-11	2.091E-11	2.228E+7	7.550E+6	  -19.4055	    7.1567	   11.0553	  -21.2637	
  600.0000	2.380E-11	2.104E-11	2.219E+7	7.499E+6	  -19.3546	    7.1466	   11.0629	  -21.2637	
  620.0000	2.408E-11	2.116E-11	2.124E+7	7.290E+6	  -19.3063	    7.1194	   11.0794	  -21.2681	
  640.0000	2.422E-11	2.134E-11	2.060E+7	7.116E+6	  -19.2427	    7.0799	   11.0636	  -21.3153	
  660.0000	2.452E-11	2.139E-11	1.918E+7	6.826E+6	  -19.1307	    7.1280	   11.0791	  -21.2617	
  680.0000	2.461E-11	2.153E-11	1.839E+7	6.586E+6	  -19.1053	    7.1204	   11.0750	  -21.2718	
  700.0000	2.505E-11	2.168E-11	1.711E+7	6.212E+6	  -19.1002	    7.1287	   11.0756	  -21.2647	
  720.0000	2.539E-11	2.187E-11	1.601E+7	5.887E+6	  -19.1435	    7.1697	   11.0863	  -21.2216	
  740.0000	2.606E-11	2.202E-11	1.487E+7	5.593E+6	  -19.1867	    7.2125	   11.0784	  -21.1962	
  760.0000	2.644E-11	2.216E-11	1.421E+7	5.251E+6	  -19.2274	    7.1850	   11.0873	  -21.2086	
  780.0000	2.709E-11	2.237E-11	1.305E+7	4.957E+6	  -19.2681	    7.1854	   11.0984	  -21.1969	
  800.0000	2.754E-11	2.258E-11	1.224E+7	4.672E+6	  -19.3317	    7.1679	   11.1034	  -21.2054	
  820.0000	2.816E-11	2.272E-11	1.146E+7	4.379E+6	  -19.3343	    7.1685	   11.1227	  -21.1851	
  840.0000	2.890E-11	2.303E-11	1.071E+7	4.156E+6	  -19.3266	    7.1325	   11.1287	  -21.2070	
  860.0000	2.960E-11	2.329E-11	9.853E+6	3.926E+6	  -19.2732	    7.1396	   11.1531	  -21.1766	
  880.0000	3.047E-11	2.351E-11	9.245E+6	3.706E+6	  -19.2121	    7.1366	   11.1641	  -21.1676	
  900.0000	3.100E-11	2.379E-11	8.624E+6	3.506E+6	  -19.1816	    7.1785	   11.1645	  -21.1345	
  920.0000	3.197E-11	2.401E-11	8.209E+6	3.326E+6	  -19.1307	    7.1473	   11.1755	  -21.1475	
  940.0000	3.257E-11	2.415E-11	7.801E+6	3.151E+6	  -19.0773	    7.1473	   11.2109	  -21.1113	
  960.0000	3.330E-11	2.436E-11	7.402E+6	3.004E+6	  -19.0646	    7.1434	   11.2236	  -21.1015	
  980.0000	3.432E-11	2.461E-11	7.141E+6	2.879E+6	  -19.0569	    7.1441	   11.2283	  -21.0962	
 1000.0000	3.508E-11	2.483E-11	6.838E+6	2.761E+6	  -19.0569	    7.1967	   11.2533	  -21.0296	
 1020.0000	3.586E-11	2.505E-11	6.609E+6	2.649E+6	  -19.0697	    7.1551	   11.2669	  -21.0483	
 1040.0000	3.685E-11	2.521E-11	6.364E+6	2.557E+6	  -19.0722	    7.1456	   11.2672	  -21.0554	
