GCD Test
Bias: 5000.000000
CV_D0_CO139_LargeDiode_GRConnected_Irradiated_60min
Date/Time: 9/1/2021 2:18:29 PM
Sensor Name: CO139
Type: N
Annealing Status: Irradiated and Annealed at 60C for 60 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	5.201E-11	1.854E-11	3.434E+6	1.745E+6	  -19.9855	    8.7414	    8.8510	  -22.5624	
    2.0000	5.239E-11	1.852E-11	3.459E+6	1.760E+6	  -19.9931	    8.8171	    8.8210	  -22.5430	
    3.0000	5.194E-11	1.854E-11	3.484E+6	1.754E+6	  -20.0008	    8.7932	    8.8175	  -22.5657	
    4.0000	5.199E-11	1.853E-11	3.513E+6	1.764E+6	  -19.9906	    8.7112	    8.8153	  -22.6310	
    5.0000	5.206E-11	1.854E-11	3.532E+6	1.765E+6	  -19.9804	    8.6855	    8.8102	  -22.6571	
    6.0000	5.154E-11	1.853E-11	3.578E+6	1.785E+6	  -19.9728	    8.6940	    8.8261	  -22.6304	
    7.0000	5.148E-11	1.855E-11	3.593E+6	1.779E+6	  -19.9804	    8.6445	    8.8245	  -22.6702	
    8.0000	5.134E-11	1.852E-11	3.626E+6	1.806E+6	  -19.9931	    8.6343	    8.8257	  -22.6763	
    9.0000	5.117E-11	1.854E-11	3.655E+6	1.801E+6	  -20.0008	    8.6653	    8.8251	  -22.6535	
   10.0000	5.092E-11	1.855E-11	3.703E+6	1.801E+6	  -20.0059	    8.6845	    8.8226	  -22.6421	
   20.0000	4.969E-11	1.859E-11	4.119E+6	1.874E+6	  -20.0262	    8.7068	    8.8295	  -22.6162	
   30.0000	4.866E-11	1.862E-11	4.499E+6	1.928E+6	  -20.0364	    8.6609	    8.8368	  -22.6420	
   40.0000	4.722E-11	1.862E-11	4.831E+6	2.015E+6	  -20.0237	    8.6544	    8.8368	  -22.6470	
   50.0000	4.544E-11	1.861E-11	5.202E+6	2.112E+6	  -20.0186	    8.5932	    8.8318	  -22.7001	
   60.0000	4.469E-11	1.861E-11	5.520E+6	2.164E+6	  -20.0084	    8.6145	    8.8593	  -22.6488	
   70.0000	4.361E-11	1.862E-11	5.830E+6	2.210E+6	  -19.9982	    8.6121	    8.8510	  -22.6611	
   80.0000	4.291E-11	1.862E-11	6.084E+6	2.265E+6	  -19.9779	    8.5888	    8.8637	  -22.6628	
   90.0000	4.172E-11	1.859E-11	6.370E+6	2.339E+6	  -19.9779	    8.6422	    8.8719	  -22.6115	
  100.0000	4.078E-11	1.860E-11	6.594E+6	2.390E+6	  -19.9779	    8.6529	    8.8817	  -22.5909	
  120.0000	3.885E-11	1.862E-11	7.150E+6	2.537E+6	  -19.9804	    8.6078	    8.8729	  -22.6366	
  140.0000	3.719E-11	1.866E-11	7.750E+6	2.680E+6	  -19.9931	    8.6257	    8.8798	  -22.6141	
  160.0000	3.584E-11	1.871E-11	8.330E+6	2.837E+6	  -20.0008	    8.6253	    8.8861	  -22.6064	
  180.0000	3.491E-11	1.870E-11	8.654E+6	2.962E+6	  -19.9957	    8.6391	    8.8899	  -22.5911	
