GCD Test
Bias: 5000.000000
IV_D0_CO141_LargeDiode_GRConnected_Irradiated
Date/Time: 7/29/2021 11:20:21 AM
Sensor Name: CO141
Type: N
Annealing Status: Irradiated not Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 4.0285E-7	 4.0350E-7	 4.0400E-7	 4.0230E-7	 4.0160E-7	4.793768E-7	4.794699E-7	4.815885E-7	4.777706E-7	4.786784E-7	  -19.9550	   14.0390	    4.0262	  -27.3786	
    2.0000	 6.7327E-7	 6.7540E-7	 6.7310E-7	 6.7080E-7	 6.7380E-7	6.699309E-7	6.738200E-7	6.679498E-7	6.688720E-7	6.690817E-7	  -20.0516	   14.0673	    4.0193	  -27.3775	
    3.0000	 8.0905E-7	 8.0890E-7	 8.1290E-7	 8.1100E-7	 8.0340E-7	8.044740E-7	8.061619E-7	8.031778E-7	8.032233E-7	8.053330E-7	  -20.1763	   14.0571	    4.0028	  -27.4289	
    4.0000	 9.2168E-7	 9.2530E-7	 9.2550E-7	 9.2130E-7	 9.1460E-7	9.150951E-7	9.130138E-7	9.194895E-7	9.157096E-7	9.121675E-7	  -20.2704	   14.0481	    3.9826	  -27.4898	
    5.0000	 1.0160E-6	 1.0210E-6	 1.0150E-6	 1.0130E-6	 1.0150E-6	1.020497E-6	1.018869E-6	1.020241E-6	1.023904E-6	1.018973E-6	  -20.3594	   13.9789	    3.9671	  -27.5801	
    6.0000	 1.1100E-6	 1.1130E-6	 1.1080E-6	 1.1080E-6	 1.1110E-6	1.107047E-6	1.104045E-6	1.101797E-6	1.107792E-6	1.114553E-6	  -20.4408	   13.8338	    3.9548	  -27.7149	
    7.0000	 1.1998E-6	 1.2050E-6	 1.1960E-6	 1.2000E-6	 1.1980E-6	1.189667E-6	1.197022E-6	1.189038E-6	1.183084E-6	1.189524E-6	  -20.5247	   13.8983	    3.9415	  -27.7060	
    8.0000	 1.2695E-6	 1.2730E-6	 1.2680E-6	 1.2640E-6	 1.2730E-6	1.267616E-6	1.267424E-6	1.262385E-6	1.268500E-6	1.272156E-6	  -20.5985	   13.9381	    3.9285	  -27.7136	
    9.0000	 1.3630E-6	 1.3580E-6	 1.3640E-6	 1.3710E-6	 1.3590E-6	1.351190E-6	1.358661E-6	1.352773E-6	1.348444E-6	1.344881E-6	  -20.6392	   14.0034	    3.9175	  -27.6984	
   10.0000	 1.4237E-6	 1.4210E-6	 1.4220E-6	 1.4260E-6	 1.4260E-6	1.431334E-6	1.438675E-6	1.433507E-6	1.428788E-6	1.424365E-6	  -20.6926	   13.9882	    3.8944	  -27.7726	
