GCD Test
Bias: 5000.000000
CV_D0_CO141_LargeDiode_GRConnected_Irradiated_60min
Date/Time: 9/3/2021 10:14:23 AM
Sensor Name: CO141
Type: N
Annealing Status: Irradiated and Annealed at 60C for 60 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	5.707E-11	1.860E-11	3.165E+6	1.834E+6	  -19.9066	   12.3512	    6.6120	  -23.1351	
    2.0000	5.721E-11	1.859E-11	3.162E+6	1.839E+6	  -19.8990	   12.3148	    6.5769	  -23.2217	
    3.0000	5.694E-11	1.858E-11	3.166E+6	1.847E+6	  -19.9092	   12.1505	    6.5614	  -23.3691	
    4.0000	5.626E-11	1.856E-11	3.183E+6	1.871E+6	  -19.9626	   12.0795	    6.4813	  -23.5587	
    5.0000	5.617E-11	1.856E-11	3.185E+6	1.872E+6	  -20.0008	   11.9733	    6.4023	  -23.7738	
    6.0000	5.623E-11	1.856E-11	3.185E+6	1.873E+6	  -20.0465	   11.8474	    6.3248	  -24.0020	
    7.0000	5.593E-11	1.856E-11	3.190E+6	1.875E+6	  -20.0771	   11.8913	    6.2388	  -24.1221	
    8.0000	5.607E-11	1.856E-11	3.187E+6	1.874E+6	  -20.0593	   11.7347	    6.1692	  -24.3614	
    9.0000	5.633E-11	1.858E-11	3.181E+6	1.853E+6	  -20.0491	   11.7155	    6.1284	  -24.4491	
   10.0000	5.635E-11	1.859E-11	3.181E+6	1.841E+6	  -20.0287	   11.5850	    6.0664	  -24.6571	
   20.0000	4.038E-11	1.824E-11	2.542E+6	1.883E+6	  -20.0033	   11.6138	    5.9921	  -24.7723	
   30.0000	4.200E-11	1.847E-11	2.868E+6	1.947E+6	  -19.9931	   11.6138	    5.9554	  -24.8402	
   40.0000	4.206E-11	1.857E-11	3.145E+6	1.989E+6	  -19.9880	   11.6738	    5.8950	  -24.9090	
   50.0000	4.223E-11	1.865E-11	3.377E+6	2.043E+6	  -19.9779	   11.6803	    5.8694	  -24.9523	
   60.0000	4.179E-11	1.871E-11	3.607E+6	2.081E+6	  -19.9728	   11.6803	    5.8450	  -24.9981	
   70.0000	4.150E-11	1.878E-11	3.814E+6	2.126E+6	  -19.9779	   11.7390	    5.8169	  -25.0086	
   80.0000	4.114E-11	1.882E-11	4.016E+6	2.193E+6	  -19.9804	   11.7527	    5.7758	  -25.0768	
   90.0000	4.049E-11	1.885E-11	4.234E+6	2.242E+6	  -19.9931	   11.5960	    5.7524	  -25.2355	
  100.0000	4.008E-11	1.891E-11	4.415E+6	2.292E+6	  -20.0084	   11.6246	    5.7321	  -25.2535	
  120.0000	3.904E-11	1.897E-11	4.801E+6	2.376E+6	  -20.0237	   11.6777	    5.6885	  -25.2989	
  140.0000	3.811E-11	1.900E-11	5.138E+6	2.479E+6	  -20.0313	   11.5904	    5.6724	  -25.3935	
  160.0000	3.730E-11	1.903E-11	5.452E+6	2.559E+6	  -20.0237	   11.5614	    5.6442	  -25.4692	
  180.0000	3.638E-11	1.906E-11	5.772E+6	2.675E+6	  -20.0491	   11.5466	    5.6091	  -25.5484	
  200.0000	3.549E-11	1.909E-11	6.105E+6	2.774E+6	  -20.0516	   11.6403	    5.5904	  -25.5170	
  220.0000	3.486E-11	1.909E-11	6.354E+6	2.882E+6	  -20.0593	   11.6447	    5.5750	  -25.5442	
  240.0000	3.433E-11	1.914E-11	6.654E+6	2.984E+6	  -20.0542	   11.6579	    5.5500	  -25.5840	
  260.0000	3.353E-11	1.911E-11	6.936E+6	3.076E+6	  -20.0237	   11.6982	    5.5553	  -25.5441	
  280.0000	3.291E-11	1.911E-11	7.217E+6	3.201E+6	  -20.0084	   11.6724	    5.5424	  -25.5885	
  300.0000	3.223E-11	1.910E-11	7.545E+6	3.338E+6	  -19.9753	   11.6787	    5.5395	  -25.5895	
  320.0000	3.170E-11	1.911E-11	7.808E+6	3.437E+6	  -19.9702	   11.7165	    5.5237	  -25.5935	
  340.0000	3.115E-11	1.912E-11	8.083E+6	3.611E+6	  -19.9550	   11.7764	    5.5237	  -25.5501	
  360.0000	3.065E-11	1.909E-11	8.418E+6	3.759E+6	  -19.9601	   11.7644	    5.5215	  -25.5632	
  380.0000	3.009E-11	1.910E-11	8.746E+6	3.924E+6	  -19.9626	   11.8208	    5.5304	  -25.5047	
  400.0000	2.952E-11	1.909E-11	9.103E+6	4.100E+6	  -19.9906	   11.8925	    5.5250	  -25.4635	
  420.0000	2.888E-11	1.907E-11	9.549E+6	4.299E+6	  -20.0135	   11.9026	    5.5332	  -25.4399	
  440.0000	2.833E-11	1.904E-11	9.904E+6	4.486E+6	  -20.0389	   11.8692	    5.5300	  -25.4703	
  460.0000	2.777E-11	1.911E-11	1.019E+7	4.665E+6	  -20.0618	   11.9034	    5.5351	  -25.4355	
  480.0000	2.731E-11	1.912E-11	1.035E+7	4.816E+6	  -20.0796	   11.9174	    5.5253	  -25.4448	
  500.0000	2.695E-11	1.917E-11	1.044E+7	4.937E+6	  -20.0847	   11.8874	    5.5386	  -25.4402	
  520.0000	2.692E-11	1.924E-11	1.047E+7	4.989E+6	  -20.0720	   11.9316	    5.5199	  -25.4453	
  540.0000	2.684E-11	1.914E-11	1.066E+7	5.500E+6	  -20.0338	   11.9799	    5.5234	  -25.4034	
  560.0000	2.433E-11	1.935E-11	1.575E+7	1.117E+7	  -20.0109	   11.9817	    5.5370	  -25.3750	
  580.0000	2.385E-11	1.932E-11	1.665E+7	1.257E+7	  -19.9855	   11.9911	    5.5515	  -25.3394	
  600.0000	2.339E-11	1.920E-11	1.805E+7	1.442E+7	  -19.9448	   11.7936	    5.5512	  -25.4831	
  620.0000	2.244E-11	1.843E-11	2.013E+7	1.409E+7	  -19.9346	   11.7541	    5.5487	  -25.5167	
  640.0000	2.201E-11	1.848E-11	2.190E+7	1.625E+7	  -19.9041	   11.7792	    5.5522	  -25.4917	
  660.0000	2.155E-11	1.849E-11	2.398E+7	1.876E+7	  -19.9219	   11.8300	    5.5693	  -25.4212	
  680.0000	2.116E-11	1.848E-11	2.618E+7	2.162E+7	  -19.9677	   11.8476	    5.5816	  -25.3841	
  700.0000	2.079E-11	1.847E-11	2.907E+7	2.472E+7	  -20.0008	   11.7975	    5.5731	  -25.4372	
  720.0000	2.044E-11	1.845E-11	3.229E+7	2.850E+7	  -20.0135	   11.8558	    5.5715	  -25.3981	
  740.0000	2.013E-11	1.845E-11	3.602E+7	3.344E+7	  -20.0618	   11.7804	    5.5977	  -25.4011	
  760.0000	1.990E-11	1.844E-11	4.007E+7	3.992E+7	  -20.0618	   11.8213	    5.6088	  -25.3497	
  780.0000	1.965E-11	1.844E-11	4.498E+7	4.721E+7	  -20.0720	   11.8785	    5.6120	  -25.3020	
  800.0000	1.948E-11	1.842E-11	5.022E+7	5.648E+7	  -20.0796	   11.8979	    5.6195	  -25.2731	
  820.0000	1.931E-11	1.842E-11	5.578E+7	7.146E+7	  -20.0644	   11.9059	    5.6521	  -25.2037	
  840.0000	1.916E-11	1.835E-11	6.125E+7	7.383E+7	  -20.0415	   11.9074	    5.6664	  -25.1750	
  860.0000	1.904E-11	1.833E-11	6.721E+7	8.525E+7	  -20.0262	   11.8073	    5.6860	  -25.2096	
  880.0000	1.890E-11	1.830E-11	7.362E+7	9.358E+7	  -19.9753	   11.8008	    5.7024	  -25.1826	
  900.0000	1.885E-11	1.827E-11	7.785E+7	1.009E+8	  -19.9702	   11.8187	    5.7043	  -25.1659	
  920.0000	1.876E-11	1.825E-11	8.230E+7	1.076E+8	  -19.9524	   11.7721	    5.7062	  -25.1961	
  940.0000	1.870E-11	1.825E-11	8.538E+7	1.298E+8	  -19.9473	   11.7653	    5.7125	  -25.1889	
  960.0000	1.863E-11	1.823E-11	8.935E+7	1.460E+8	  -19.9575	   11.8196	    5.7170	  -25.1408	
  980.0000	1.857E-11	1.823E-11	9.239E+7	1.727E+8	  -19.9779	   11.8527	    5.7122	  -25.1259	
 1000.0000	1.852E-11	1.821E-11	9.486E+7	1.742E+8	  -19.9931	   11.8760	    5.7204	  -25.0931	
 1020.0000	1.847E-11	1.820E-11	9.502E+7	1.981E+8	  -20.0135	   11.9035	    5.7207	  -25.0726	
 1040.0000	1.842E-11	1.821E-11	9.840E+7	2.761E+8	  -20.0262	   11.9528	    5.7195	  -25.0392	
 1060.0000	1.834E-11	1.808E-11	9.499E+7	7.934E+7	  -20.0415	   11.9718	    5.7116	  -25.0406	
 1080.0000	1.831E-11	1.807E-11	9.539E+7	7.777E+7	  -20.0364	   11.8577	    5.7157	  -25.1156	
 1100.0000	1.829E-11	1.806E-11	9.644E+7	8.095E+7	  -20.0338	   11.8825	    5.7226	  -25.0842	
