GCD Test
Bias: 5000.000000
IV_D0_CO142_LargeDiode_GRConnected_Irradiated_60min
Date/Time: 9/1/2021 5:19:29 PM
Sensor Name: CO141
Type: N
Annealing Status: Irradiated and Annealed at 60C for 60 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	-2.7475E-10	-1.7300E-10	-3.1900E-10	-3.3200E-10	-2.7500E-10	-2.827414E-12	-3.197304E-12	-2.809640E-12	-2.516498E-12	-2.786214E-12	  -20.0186	    8.7247	    6.9320	  -25.2965	
    2.0000	-4.7500E-11	-1.0600E-10	-1.4200E-10	1.2000E-11	4.6000E-11	1.247917E-10	1.241902E-10	1.248692E-10	1.254793E-10	1.246282E-10	  -20.0364	    8.6644	    6.9067	  -25.3815	
    3.0000	3.3950E-10	4.1100E-10	3.4400E-10	2.4800E-10	3.5500E-10	5.387839E-10	5.364839E-10	5.373809E-10	5.405194E-10	5.407515E-10	  -20.0313	    8.7344	    6.8789	  -25.3738	
    4.0000	8.7625E-10	7.8800E-10	8.2200E-10	8.6400E-10	 1.0310E-9	1.000176E-9	9.981975E-10	9.994876E-10	1.000011E-9	1.003007E-9	  -20.0287	    8.7035	    6.8640	  -25.4206	
    5.0000	 1.4230E-9	 1.3370E-9	 1.3850E-9	 1.5410E-9	 1.4290E-9	1.478815E-9	1.477854E-9	1.482442E-9	1.478956E-9	1.476009E-9	  -20.0287	    8.7234	    6.8488	  -25.4301	
    6.0000	 1.9502E-9	 1.8680E-9	 1.9130E-9	 2.0610E-9	 1.9590E-9	1.978529E-9	1.977287E-9	1.979073E-9	1.978007E-9	1.979750E-9	  -20.0415	    8.7412	    6.8305	  -25.4463	
    7.0000	 2.5170E-9	 2.5710E-9	 2.5440E-9	 2.5350E-9	 2.4180E-9	2.491417E-9	2.491808E-9	2.491825E-9	2.488808E-9	2.493228E-9	  -20.0364	    8.6778	    6.8182	  -25.5132	
    8.0000	 3.0055E-9	 3.0670E-9	 3.0960E-9	 2.8960E-9	 2.9630E-9	3.029595E-9	3.027414E-9	3.027868E-9	3.028845E-9	3.034253E-9	  -20.0160	    8.7436	    6.7840	  -25.5194	
    9.0000	 3.6660E-9	 3.5570E-9	 3.7550E-9	 3.6460E-9	 3.7060E-9	3.612833E-9	3.620889E-9	3.615632E-9	3.609777E-9	3.605032E-9	  -20.0237	    8.7239	    6.7843	  -25.5336	
   10.0000	 4.2612E-9	 4.3560E-9	 4.2920E-9	 4.2910E-9	 4.1060E-9	4.166373E-9	4.173046E-9	4.168240E-9	4.163923E-9	4.160284E-9	  -20.0186	    8.7532	    6.7717	  -25.5323	
