GCD Test
Bias: 5000.000000
IV_D0_CO142_LargeDiode_GRConnected_Irradiated_80min
Date/Time: 9/22/2021 4:27:31 PM
Sensor Name: CO142
Type: N
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 5.4742E-7	 5.4660E-7	 5.4960E-7	 5.4680E-7	 5.4670E-7	5.119925E-7	5.129173E-7	5.134833E-7	5.111701E-7	5.103992E-7	  -20.0211	   11.2608	    3.2163	  -31.6756	
    2.0000	 8.6232E-7	 8.6340E-7	 8.6490E-7	 8.6060E-7	 8.6040E-7	7.910877E-7	7.877776E-7	7.910952E-7	7.926432E-7	7.928348E-7	  -20.0262	   11.3356	    3.2052	  -31.6599	
    3.0000	 1.0565E-6	 1.0590E-6	 1.0580E-6	 1.0540E-6	 1.0550E-6	9.680381E-7	9.697238E-7	9.695162E-7	9.655298E-7	9.673827E-7	  -20.0059	   11.3388	    3.1856	  -31.7212	
    4.0000	 1.2177E-6	 1.2170E-6	 1.2170E-6	 1.2180E-6	 1.2190E-6	1.113188E-6	1.115422E-6	1.116672E-6	1.110435E-6	1.110225E-6	  -19.9931	   11.3388	    3.1841	  -31.7263	
    5.0000	 1.3633E-6	 1.3640E-6	 1.3640E-6	 1.3620E-6	 1.3630E-6	1.245977E-6	1.248698E-6	1.244371E-6	1.246685E-6	1.244152E-6	  -20.0059	   11.3717	    3.1917	  -31.6792	
    6.0000	 1.4952E-6	 1.4900E-6	 1.4980E-6	 1.4970E-6	 1.4960E-6	1.366064E-6	1.368242E-6	1.369611E-6	1.362431E-6	1.363972E-6	  -20.0059	   11.3260	    3.1983	  -31.6890	
    7.0000	 1.6168E-6	 1.6210E-6	 1.6200E-6	 1.6140E-6	 1.6120E-6	1.475591E-6	1.470479E-6	1.477318E-6	1.480552E-6	1.474015E-6	  -19.9957	   11.2857	    3.1929	  -31.7340	
    8.0000	 1.7310E-6	 1.7310E-6	 1.7380E-6	 1.7270E-6	 1.7280E-6	1.579615E-6	1.582470E-6	1.579004E-6	1.574819E-6	1.582166E-6	  -20.0008	   11.1817	    3.1894	  -31.8166	
    9.0000	 1.8377E-6	 1.8370E-6	 1.8380E-6	 1.8380E-6	 1.8380E-6	1.672466E-6	1.674696E-6	1.672320E-6	1.665790E-6	1.677056E-6	  -20.0237	   11.1724	    3.1888	  -31.8250	
   10.0000	 1.9505E-6	 1.9500E-6	 1.9540E-6	 1.9530E-6	 1.9450E-6	1.770565E-6	1.764095E-6	1.771856E-6	1.772746E-6	1.773564E-6	  -20.0262	   11.2171	    3.1837	  -31.8108	
   20.0000	 2.8273E-6	 2.8400E-6	 2.8240E-6	 2.8210E-6	 2.8240E-6	2.561493E-6	2.568330E-6	2.557807E-6	2.561000E-6	2.558837E-6	  -20.0211	   11.2193	    3.1743	  -31.8401	
   30.0000	 3.5025E-6	 3.5730E-6	 3.5750E-6	 3.4780E-6	 3.3840E-6	3.379491E-6	3.387259E-6	3.378077E-6	3.377314E-6	3.375314E-6	  -20.0287	   11.2838	    3.1502	  -31.8745	
   40.0000	 3.9953E-6	 4.0050E-6	 3.9920E-6	 3.9950E-6	 3.9890E-6	3.989759E-6	3.985472E-6	3.997093E-6	3.987536E-6	3.988933E-6	  -20.0237	   11.1965	    3.1521	  -31.9280	
   50.0000	 4.5477E-6	 4.5470E-6	 4.5580E-6	 4.5460E-6	 4.5400E-6	4.555759E-6	4.553944E-6	4.558900E-6	4.560799E-6	4.549393E-6	  -20.0237	   11.2019	    3.1676	  -31.8737	
   60.0000	 5.0710E-6	 5.0580E-6	 5.0760E-6	 5.0730E-6	 5.0770E-6	5.069299E-6	5.086904E-6	5.079356E-6	5.060720E-6	5.050215E-6	  -20.0338	   11.1919	    3.1537	  -31.9260	
   70.0000	 5.5670E-6	 5.5590E-6	 5.5850E-6	 5.5690E-6	 5.5550E-6	5.547557E-6	5.537021E-6	5.552495E-6	5.549441E-6	5.551270E-6	  -20.0135	   11.2467	    3.1490	  -31.9040	
   80.0000	 6.0225E-6	 6.0300E-6	 6.0210E-6	 6.0290E-6	 6.0100E-6	6.019658E-6	5.996183E-6	6.026662E-6	6.048332E-6	6.007454E-6	  -19.9982	   11.1884	    3.1243	  -32.0251	
   90.0000	 6.4670E-6	 6.4610E-6	 6.4630E-6	 6.4770E-6	 6.4670E-6	6.457244E-6	6.439755E-6	6.451142E-6	6.456932E-6	6.481146E-6	  -20.0059	   11.2019	    3.1157	  -32.0440	
  100.0000	 6.8887E-6	 6.9010E-6	 6.8740E-6	 6.8880E-6	 6.8920E-6	6.886525E-6	6.868575E-6	6.901372E-6	6.907815E-6	6.868337E-6	  -20.0033	   11.1425	    3.1104	  -32.1025	
  120.0000	 7.7110E-6	 7.7270E-6	 7.7060E-6	 7.7030E-6	 7.7080E-6	7.708061E-6	7.723286E-6	7.732154E-6	7.687023E-6	7.689780E-6	  -19.9982	   11.0976	    3.0968	  -32.1784	
  140.0000	 8.4688E-6	 8.4870E-6	 8.4770E-6	 8.4470E-6	 8.4640E-6	8.484171E-6	8.468053E-6	8.502187E-6	8.504515E-6	8.461929E-6	  -19.9982	   11.1789	    3.0984	  -32.1175	
  160.0000	 9.4080E-6	 9.4160E-6	 9.4420E-6	 9.3950E-6	 9.3790E-6	8.984258E-6	8.955686E-6	8.951963E-6	8.980423E-6	9.048962E-6	  -19.9982	   11.1789	    3.1006	  -32.1101	
  180.0000	 9.8850E-6	 1.0000E-5	 9.8200E-6	 9.8600E-6	 9.8600E-6	9.881200E-6	9.861797E-6	9.880871E-6	9.889769E-6	9.892364E-6	  -19.9957	   11.1523	    3.1142	  -32.0832	
  200.0000	 1.0620E-5	 1.0800E-5	 1.0670E-5	 1.0510E-5	 1.0500E-5	1.047432E-5	1.049266E-5	1.048984E-5	1.053052E-5	1.038426E-5	  -19.9779	   11.1435	    3.1208	  -32.0673	
  220.0000	 1.1747E-5	 1.1710E-5	 1.1760E-5	 1.1760E-5	 1.1760E-5	1.063367E-5	1.060972E-5	1.064210E-5	1.063713E-5	1.064573E-5	  -19.9804	   11.0497	    3.1142	  -32.1534	
  240.0000	 1.2375E-5	 1.2370E-5	 1.2390E-5	 1.2390E-5	 1.2350E-5	1.120509E-5	1.117593E-5	1.122119E-5	1.118839E-5	1.123486E-5	  -19.9626	   11.0461	    3.1249	  -32.1204	
  260.0000	 1.2637E-5	 1.3030E-5	 1.2870E-5	 1.2320E-5	 1.2330E-5	1.234724E-5	1.232691E-5	1.238596E-5	1.231246E-5	1.236362E-5	  -19.9702	   11.0544	    3.1221	  -32.1241	
  280.0000	 1.2890E-5	 1.2880E-5	 1.2860E-5	 1.2920E-5	 1.2900E-5	1.288069E-5	1.286011E-5	1.288388E-5	1.288333E-5	1.289545E-5	  -19.9931	   11.0727	    3.1395	  -32.0543	
  300.0000	 1.3485E-5	 1.3500E-5	 1.3490E-5	 1.3480E-5	 1.3470E-5	1.349421E-5	1.345801E-5	1.351592E-5	1.351594E-5	1.348699E-5	  -19.9931	   11.1000	    3.1347	  -32.0511	
  320.0000	 1.4028E-5	 1.4010E-5	 1.4010E-5	 1.4010E-5	 1.4080E-5	1.403094E-5	1.408110E-5	1.401115E-5	1.402144E-5	1.401005E-5	  -20.0033	   11.0946	    3.1392	  -32.0403	
  340.0000	 1.4570E-5	 1.4570E-5	 1.4540E-5	 1.4560E-5	 1.4610E-5	1.456413E-5	1.454854E-5	1.457168E-5	1.456653E-5	1.456978E-5	  -19.9982	   11.0714	    3.1180	  -32.1260	
  360.0000	 1.5075E-5	 1.5070E-5	 1.5080E-5	 1.5090E-5	 1.5060E-5	1.508814E-5	1.500553E-5	1.511820E-5	1.514178E-5	1.508704E-5	  -19.9982	   11.0049	    3.1053	  -32.2134	
  380.0000	 1.5558E-5	 1.5510E-5	 1.5580E-5	 1.5600E-5	 1.5540E-5	1.562795E-5	1.557270E-5	1.565921E-5	1.562164E-5	1.565826E-5	  -19.9931	   11.0237	    3.0911	  -32.2478	
  400.0000	 1.6140E-5	 1.6140E-5	 1.6160E-5	 1.6130E-5	 1.6130E-5	1.610104E-5	1.610468E-5	1.618250E-5	1.609235E-5	1.602463E-5	  -20.0033	   11.0030	    3.0715	  -32.3274	
  420.0000	 1.6602E-5	 1.6600E-5	 1.6620E-5	 1.6600E-5	 1.6590E-5	1.659158E-5	1.665407E-5	1.663460E-5	1.659039E-5	1.648727E-5	  -19.9931	   11.0252	    3.0582	  -32.3568	
  440.0000	 1.7110E-5	 1.7170E-5	 1.7100E-5	 1.7100E-5	 1.7070E-5	1.710210E-5	1.706078E-5	1.709682E-5	1.714746E-5	1.710334E-5	  -19.9982	   11.0572	    3.0417	  -32.3904	
  460.0000	 1.7685E-5	 1.7690E-5	 1.7680E-5	 1.7660E-5	 1.7710E-5	1.767163E-5	1.772348E-5	1.761057E-5	1.766338E-5	1.768908E-5	  -19.9957	   11.0303	    3.0500	  -32.3810	
