GCD Test
Bias: 5000.000000
IV_D0_CO143_LargeDiode_GRConnected_Irradiated_80min
Date/Time: 9/27/2021 7:17:58 PM
Sensor Name: CO143
Type: N
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 4.4548E-7	 4.4640E-7	 4.4770E-7	 4.4440E-7	 4.4340E-7	5.105912E-7	5.094684E-7	5.113988E-7	5.109667E-7	5.105310E-7	  -20.0516	   14.4887	    3.7786	  -27.7485	
    2.0000	 8.7775E-7	 8.7900E-7	 8.7600E-7	 8.7820E-7	 8.7780E-7	8.042465E-7	8.060993E-7	8.040890E-7	8.044838E-7	8.023138E-7	  -20.0491	   14.4760	    3.7489	  -27.8421	
    3.0000	 1.0775E-6	 1.0750E-6	 1.0750E-6	 1.0760E-6	 1.0840E-6	9.918577E-7	9.919437E-7	9.928006E-7	9.895442E-7	9.931424E-7	  -20.0516	   14.3652	    3.7157	  -28.0144	
    4.0000	 1.2490E-6	 1.2450E-6	 1.2480E-6	 1.2520E-6	 1.2510E-6	1.143250E-6	1.148395E-6	1.143039E-6	1.140495E-6	1.141073E-6	  -20.0720	   14.3652	    3.7011	  -28.0564	
    5.0000	 1.3933E-6	 1.3940E-6	 1.3920E-6	 1.3950E-6	 1.3920E-6	1.273832E-6	1.271041E-6	1.270486E-6	1.272400E-6	1.281400E-6	  -20.0720	   14.2814	    3.7113	  -28.0853	
    6.0000	 1.5332E-6	 1.5320E-6	 1.5370E-6	 1.5340E-6	 1.5300E-6	1.399329E-6	1.400191E-6	1.399372E-6	1.399479E-6	1.398274E-6	  -20.0720	   14.2814	    3.7157	  -28.0726	
    7.0000	 1.6577E-6	 1.6590E-6	 1.6560E-6	 1.6580E-6	 1.6580E-6	1.514342E-6	1.520181E-6	1.514067E-6	1.509604E-6	1.513515E-6	  -20.0644	   14.3854	    3.7533	  -27.8923	
    8.0000	 1.7818E-6	 1.7850E-6	 1.7830E-6	 1.7800E-6	 1.7790E-6	1.625239E-6	1.618646E-6	1.619884E-6	1.632278E-6	1.630146E-6	  -20.0694	   14.3406	    3.7628	  -27.8964	
    9.0000	 1.8890E-6	 1.8930E-6	 1.8890E-6	 1.8850E-6	 1.8890E-6	1.720297E-6	1.727862E-6	1.719742E-6	1.716908E-6	1.716677E-6	  -20.0491	   14.2702	    3.7732	  -27.9155	
   10.0000	 1.9918E-6	 1.9930E-6	 1.9960E-6	 1.9890E-6	 1.9890E-6	1.816797E-6	1.820994E-6	1.820313E-6	1.815662E-6	1.810218E-6	  -20.0440	   14.2026	    3.7732	  -27.9625	
   20.0000	 2.9078E-6	 2.9110E-6	 2.9170E-6	 2.9040E-6	 2.8990E-6	2.633551E-6	2.616944E-6	2.632443E-6	2.639205E-6	2.645611E-6	  -20.0465	   14.2843	    3.7957	  -27.8420	
   30.0000	 3.6563E-6	 3.6750E-6	 3.6570E-6	 3.6430E-6	 3.6500E-6	3.289260E-6	3.291187E-6	3.279665E-6	3.299226E-6	3.286960E-6	  -20.0440	   14.2952	    3.7929	  -27.8426	
   40.0000	 4.3213E-6	 4.3230E-6	 4.3260E-6	 4.3170E-6	 4.3190E-6	3.862464E-6	3.856732E-6	3.862438E-6	3.855273E-6	3.875414E-6	  -20.0440	   14.3229	    3.7922	  -27.8251	
   50.0000	 4.9315E-6	 4.9330E-6	 4.9500E-6	 4.9240E-6	 4.9190E-6	4.383027E-6	4.376412E-6	4.385092E-6	4.374175E-6	4.396429E-6	  -20.0440	   14.3538	    3.8163	  -27.7357	
   60.0000	 5.5025E-6	 5.5030E-6	 5.5110E-6	 5.4930E-6	 5.5030E-6	4.860614E-6	4.870912E-6	4.850557E-6	4.840809E-6	4.880178E-6	  -20.0516	   14.3685	    3.8210	  -27.7122	
   70.0000	 6.0540E-6	 6.0600E-6	 6.0490E-6	 6.0660E-6	 6.0410E-6	5.338374E-6	5.343839E-6	5.340319E-6	5.339552E-6	5.329786E-6	  -20.0364	   14.3685	    3.8400	  -27.6589	
   80.0000	 6.5705E-6	 6.5720E-6	 6.5720E-6	 6.5660E-6	 6.5720E-6	5.776498E-6	5.781897E-6	5.769159E-6	5.770616E-6	5.784321E-6	  -20.0567	   14.3103	    3.8457	  -27.6835	
   90.0000	 7.0177E-6	 6.9960E-6	 7.0080E-6	 7.0240E-6	 7.0430E-6	6.187476E-6	6.187854E-6	6.198468E-6	6.200500E-6	6.163083E-6	  -20.0440	   14.3343	    3.8650	  -27.6130	
  100.0000	 7.4967E-6	 7.4910E-6	 7.5030E-6	 7.4990E-6	 7.4940E-6	6.590651E-6	6.613919E-6	6.612476E-6	6.569029E-6	6.567180E-6	  -20.0491	   14.2649	    3.8710	  -27.6446	
  120.0000	 8.4038E-6	 8.4140E-6	 8.4290E-6	 8.3790E-6	 8.3930E-6	7.331880E-6	7.364805E-6	7.337490E-6	7.304571E-6	7.320654E-6	  -20.0567	   14.2641	    3.8656	  -27.6601	
  140.0000	 9.9170E-6	 9.6730E-6	 9.8510E-6	 9.9790E-6	 1.0165E-5	8.047962E-6	8.050073E-6	8.049626E-6	8.043219E-6	8.048931E-6	  -20.0618	   14.2981	    3.8741	  -27.6126	
