GCD Test
Bias: 5000.000000
CV_D0_CO144_LargeDiode_GRConnected_Irradiated_60min
Date/Time: 9/9/2021 1:12:16 PM
Sensor Name: CO144
Type: N
Annealing Status: Irradiated and Annealed at 60C for 60 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.886E-12	3.784E-12	2.585E+9	3.220E+8	  -19.9957	   13.5610	    3.1110	  -30.4489	
    2.0000	3.891E-12	3.784E-12	2.460E+9	3.191E+8	  -19.9957	   13.4511	    3.1211	  -30.4899	
    3.0000	3.885E-12	3.780E-12	2.331E+9	3.075E+8	  -19.9804	   13.4571	    3.1284	  -30.4613	
    4.0000	3.884E-12	3.780E-12	2.260E+9	3.051E+8	  -19.9931	   13.4585	    3.1116	  -30.5166	
    5.0000	3.883E-12	3.780E-12	2.255E+9	3.045E+8	  -19.9830	   13.4714	    3.1151	  -30.4962	
    6.0000	3.884E-12	3.780E-12	2.374E+9	3.026E+8	  -20.0008	   13.4129	    3.1139	  -30.5403	
    7.0000	3.884E-12	3.780E-12	2.287E+9	3.018E+8	  -20.0160	   13.4710	    3.1069	  -30.5241	
    8.0000	3.886E-12	3.780E-12	2.380E+9	3.028E+8	  -20.0186	   13.4317	    3.1120	  -30.5338	
    9.0000	3.887E-12	3.781E-12	2.320E+9	3.005E+8	  -20.0313	   13.4034	    3.1199	  -30.5266	
   10.0000	3.890E-12	3.781E-12	2.287E+9	3.001E+8	  -20.0237	   13.3623	    3.1022	  -30.6142	
   20.0000	3.891E-12	3.777E-12	2.326E+9	3.009E+8	  -20.0135	   13.2965	    3.1056	  -30.6473	
   30.0000	3.892E-12	3.777E-12	2.326E+9	2.981E+8	  -20.0008	   13.2622	    3.1078	  -30.6632	
   40.0000	3.896E-12	3.777E-12	2.366E+9	2.953E+8	  -20.0033	   13.2587	    3.1113	  -30.6540	
   50.0000	3.895E-12	3.777E-12	2.281E+9	2.950E+8	  -19.9906	   13.3042	    3.1028	  -30.6517	
   60.0000	3.854E-12	3.776E-12	1.915E+9	3.179E+8	  -19.9931	   13.4517	    3.1148	  -30.5107	
   70.0000	3.852E-12	3.776E-12	2.003E+9	3.170E+8	  -20.0033	   13.3519	    3.1097	  -30.5957	
   80.0000	3.855E-12	3.776E-12	1.974E+9	3.163E+8	  -20.0084	   13.2948	    3.1078	  -30.6411	
   90.0000	3.853E-12	3.776E-12	2.046E+9	3.164E+8	    0.0000	    0.0000	    0.0000	    0.0000	
