Date/Time: 7/27/2021 4:31:22 PM
Sensor Name: Pin153
Type: N
Annealing Status: Irradiated, Not Annealed
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

Vf: 53.719000

Avg: 53.449933
Std Dev: 0.175164
Min: 53.140000
Max: 53.719000

Time	I	0.000000s	Temperature	Air_Temp	Humidity	Dewpoint	
3710262402.027447	2.000E-4	1.929E+1	    7.2000	   17.1769	   42.1325	    4.2092	
3710262403.283732	4.000E-4	3.173E+1	    7.2000	   17.1769	   42.1325	    4.2092	
3710262404.556227	6.000E-4	4.069E+1	    7.2000	   17.1769	   42.1325	    4.2092	
3710262405.871342	8.000E-4	4.758E+1	    7.2693	   17.1912	   42.0474	    4.1933	
3710262407.146032	1.000E-3	5.314E+1	    7.2693	   17.1912	   42.0474	    4.1933	
3710262408.419195	1.200E-3	5.777E+1	    7.2693	   17.1912	   42.0474	    4.1933	
3710262409.685834	1.400E-3	6.173E+1	    7.3308	   17.2077	   41.9048	    4.1598	
3710262410.962355	1.600E-3	6.514E+1	    7.3308	   17.2077	   41.9048	    4.1598	
3710262412.235374	1.800E-3	6.811E+1	    7.3308	   17.2077	   41.9048	    4.1598	
3710262413.500149	2.000E-3	7.077E+1	    7.3308	   17.2077	   41.9048	    4.1598	
3710262422.028235	2.000E-4	1.932E+1	    7.4462	   17.2397	   41.5898	    4.0812	
3710262423.282070	4.000E-4	3.176E+1	    7.4462	   17.2397	   41.5898	    4.0812	
3710262424.553823	6.000E-4	4.070E+1	    7.4462	   17.2397	   41.5898	    4.0812	
3710262425.862864	8.000E-4	4.760E+1	    7.4077	   17.2558	   41.6306	    4.1097	
3710262427.143765	1.000E-3	5.314E+1	    7.4077	   17.2558	   41.6306	    4.1097	
3710262428.419284	1.200E-3	5.780E+1	    7.4077	   17.2558	   41.6306	    4.1097	
3710262429.696311	1.400E-3	6.172E+1	    7.3488	   17.3282	   41.6989	    4.1981	
3710262430.964922	1.600E-3	6.513E+1	    7.3488	   17.3282	   41.6989	    4.1981	
3710262432.242425	1.800E-3	6.813E+1	    7.3488	   17.3282	   41.6989	    4.1981	
3710262433.512607	2.000E-3	7.078E+1	    7.3488	   17.3282	   41.6989	    4.1981	
3710262442.028104	2.000E-4	1.935E+1	    7.1231	   17.2086	   41.8153	    4.1302	
3710262443.276869	4.000E-4	3.182E+1	    7.1231	   17.2086	   41.8153	    4.1302	
3710262444.554915	6.000E-4	4.078E+1	    7.1231	   17.2086	   41.8153	    4.1302	
3710262445.866157	8.000E-4	4.768E+1	    7.0770	   17.2736	   41.8172	    4.1894	
3710262447.139158	1.000E-3	5.325E+1	    7.0770	   17.2736	   41.8172	    4.1894	
3710262448.410957	1.200E-3	5.787E+1	    7.0770	   17.2736	   41.8172	    4.1894	
3710262449.678015	1.400E-3	6.183E+1	    7.0667	   17.1730	   41.7995	    4.0927	
3710262450.952054	1.600E-3	6.526E+1	    7.0667	   17.1730	   41.7995	    4.0927	
3710262452.228892	1.800E-3	6.821E+1	    7.0667	   17.1730	   41.7995	    4.0927	
3710262453.496099	2.000E-3	7.086E+1	    7.0667	   17.1730	   41.7995	    4.0927	
3710262462.027990	2.000E-4	1.939E+1	    7.1821	   17.2376	   41.9121	    4.1892	
3710262463.285052	4.000E-4	3.187E+1	    7.1821	   17.2376	   41.9121	    4.1892	
3710262464.558008	6.000E-4	4.083E+1	    7.1821	   17.2376	   41.9121	    4.1892	
3710262465.874659	8.000E-4	4.775E+1	    7.2385	   17.1244	   41.9804	    4.1104	
3710262467.149501	1.000E-3	5.332E+1	    7.2385	   17.1244	   41.9804	    4.1104	
3710262468.424996	1.200E-3	5.794E+1	    7.2385	   17.1244	   41.9804	    4.1104	
3710262469.691514	1.400E-3	6.188E+1	    7.3026	   17.1936	   41.9494	    4.1622	
3710262470.957280	1.600E-3	6.531E+1	    7.3026	   17.1936	   41.9494	    4.1622	
3710262472.235482	1.800E-3	6.827E+1	    7.3026	   17.1936	   41.9494	    4.1622	
3710262473.499346	2.000E-3	7.091E+1	    7.3026	   17.1936	   41.9494	    4.1622	
3710262482.027518	2.000E-4	1.945E+1	    7.4360	   17.2159	   41.6559	    4.0824	
3710262483.276784	4.000E-4	3.196E+1	    7.4360	   17.2159	   41.6559	    4.0824	
3710262484.550274	6.000E-4	4.094E+1	    7.4360	   17.2159	   41.6559	    4.0824	
3710262485.860368	8.000E-4	4.783E+1	    7.4180	   17.0951	   41.5746	    3.9459	
3710262487.134020	1.000E-3	5.339E+1	    7.4180	   17.0951	   41.5746	    3.9459	
3710262488.407589	1.200E-3	5.800E+1	    7.4180	   17.0951	   41.5746	    3.9459	
3710262489.681329	1.400E-3	6.193E+1	    7.3642	   17.1733	   41.5269	    3.9999	
3710262490.948558	1.600E-3	6.533E+1	    7.3642	   17.1733	   41.5269	    3.9999	
3710262492.220623	1.800E-3	6.831E+1	    7.3642	   17.1733	   41.5269	    3.9999	
3710262493.490785	2.000E-3	7.096E+1	    7.3642	   17.1733	   41.5269	    3.9999	
3710262502.028166	2.000E-4	1.949E+1	    7.1154	   17.2144	   41.4548	    4.0122	
3710262503.281024	4.000E-4	3.201E+1	    7.1154	   17.2144	   41.4548	    4.0122	
3710262504.552714	6.000E-4	4.097E+1	    7.1154	   17.2144	   41.4548	    4.0122	
3710262505.871288	8.000E-4	4.786E+1	    7.0436	   17.2792	   41.4624	    4.0731	
3710262507.138998	1.000E-3	5.340E+1	    7.0436	   17.2792	   41.4624	    4.0731	
3710262508.417650	1.200E-3	5.800E+1	    7.0436	   17.2792	   41.4624	    4.0731	
3710262509.684138	1.400E-3	6.194E+1	    6.9718	   17.3062	   41.4883	    4.1062	
3710262510.955203	1.600E-3	6.537E+1	    6.9718	   17.3062	   41.4883	    4.1062	
3710262512.238648	1.800E-3	6.835E+1	    6.9718	   17.3062	   41.4883	    4.1062	
3710262513.515633	2.000E-3	7.097E+1	    6.9718	   17.3062	   41.4883	    4.1062	
3710262522.028804	2.000E-4	1.948E+1	    6.9360	   17.1149	   41.7268	    4.0157	
3710262523.280228	4.000E-4	3.199E+1	    6.9360	   17.1149	   41.7268	    4.0157	
3710262524.553651	6.000E-4	4.097E+1	    6.9360	   17.1149	   41.7268	    4.0157	
3710262525.865099	8.000E-4	4.787E+1	    7.0052	   16.9540	   41.7413	    3.8757	
3710262527.135232	1.000E-3	5.342E+1	    7.0052	   16.9540	   41.7413	    3.8757	
3710262528.415667	1.200E-3	5.806E+1	    7.0052	   16.9540	   41.7413	    3.8757	
3710262529.684256	1.400E-3	6.202E+1	    7.0821	   17.0682	   41.7122	    3.9686	
3710262530.955275	1.600E-3	6.542E+1	    7.0821	   17.0682	   41.7122	    3.9686	
3710262532.234243	1.800E-3	6.839E+1	    7.0821	   17.0682	   41.7122	    3.9686	
3710262533.505830	2.000E-3	7.102E+1	    7.0821	   17.0682	   41.7122	    3.9686	
3710262542.029227	2.000E-4	1.954E+1	    7.2924	   17.1681	   41.5712	    4.0104	
3710262543.284253	4.000E-4	3.206E+1	    7.2924	   17.1681	   41.5712	    4.0104	
3710262544.557070	6.000E-4	4.103E+1	    7.2924	   17.1681	   41.5712	    4.0104	
3710262545.954126	8.000E-4	4.794E+1	    7.2898	   17.0859	   41.5680	    3.9354	
3710262547.222366	1.000E-3	5.348E+1	    7.2898	   17.0859	   41.5680	    3.9354	
3710262548.501850	1.200E-3	5.810E+1	    7.2898	   17.0859	   41.5680	    3.9354	
3710262549.765557	1.400E-3	6.203E+1	    7.2513	   17.1204	   41.5721	    3.9678	
3710262551.041856	1.600E-3	6.541E+1	    7.2513	   17.1204	   41.5721	    3.9678	
3710262552.319593	1.800E-3	6.836E+1	    7.2513	   17.1204	   41.5721	    3.9678	
3710262553.595957	2.000E-3	7.102E+1	    7.2513	   17.1204	   41.5721	    3.9678	
3710262562.029762	2.000E-4	1.957E+1	    7.0180	   17.0073	   41.5816	    3.8693	
3710262563.279370	4.000E-4	3.210E+1	    7.0180	   17.0073	   41.5816	    3.8693	
3710262564.559037	6.000E-4	4.108E+1	    7.0180	   17.0073	   41.5816	    3.8693	
3710262565.870923	8.000E-4	4.798E+1	    6.9334	   17.0420	   41.5867	    3.9022	
3710262567.140750	1.000E-3	5.353E+1	    6.9334	   17.0420	   41.5867	    3.9022	
3710262568.421766	1.200E-3	5.812E+1	    6.9334	   17.0420	   41.5867	    3.9022	
3710262569.691967	1.400E-3	6.206E+1	    6.8719	   17.0374	   41.6012	    3.9031	
3710262570.955381	1.600E-3	6.544E+1	    6.8719	   17.0374	   41.6012	    3.9031	
3710262572.222432	1.800E-3	6.840E+1	    6.8719	   17.0374	   41.6012	    3.9031	
3710262573.494493	2.000E-3	7.108E+1	    6.8719	   17.0374	   41.6012	    3.9031	
3710262582.030496	2.000E-4	1.958E+1	    6.7667	   17.0028	   41.6335	    3.8829	
3710262583.278563	4.000E-4	3.209E+1	    6.7667	   17.0028	   41.6335	    3.8829	
3710262584.554389	6.000E-4	4.109E+1	    6.7667	   17.0028	   41.6335	    3.8829	
3710262585.869419	8.000E-4	4.801E+1	    6.7796	   17.0454	   41.6537	    3.9282	
3710262587.137915	1.000E-3	5.356E+1	    6.7796	   17.0454	   41.6537	    3.9282	
3710262588.415335	1.200E-3	5.819E+1	    6.7796	   17.0454	   41.6537	    3.9282	
3710262589.690838	1.400E-3	6.212E+1	    6.8078	   17.0338	   41.6917	    3.9306	
3710262590.960567	1.600E-3	6.552E+1	    6.8078	   17.0338	   41.6917	    3.9306	
3710262592.241867	1.800E-3	6.851E+1	    6.8078	   17.0338	   41.6917	    3.9306	
3710262593.505139	2.000E-3	7.116E+1	    6.8078	   17.0338	   41.6917	    3.9306	
3710262602.030469	2.000E-4	1.959E+1	    6.9847	   17.0802	   41.6556	    3.9601	
3710262603.280521	4.000E-4	3.211E+1	    6.9847	   17.0802	   41.6556	    3.9601	
3710262604.541041	6.000E-4	4.109E+1	    6.9847	   17.0802	   41.6556	    3.9601	
3710262605.857872	8.000E-4	4.796E+1	    7.0462	   17.0383	   41.6682	    3.9267	
3710262607.130504	1.000E-3	5.350E+1	    7.0462	   17.0383	   41.6682	    3.9267	
3710262608.410182	1.200E-3	5.809E+1	    7.0462	   17.0383	   41.6682	    3.9267	
3710262609.678667	1.400E-3	6.202E+1	    7.1077	   17.0238	   41.7024	    3.9253	
3710262610.945554	1.600E-3	6.545E+1	    7.1077	   17.0238	   41.7024	    3.9253	
3710262612.220935	1.800E-3	6.841E+1	    7.1077	   17.0238	   41.7024	    3.9253	
3710262613.494402	2.000E-3	7.107E+1	    7.1077	   17.0238	   41.7024	    3.9253	
3710262622.029976	2.000E-4	1.958E+1	    7.1359	   17.0856	   41.6069	    3.9484	
3710262623.276709	4.000E-4	3.213E+1	    7.1359	   17.0856	   41.6069	    3.9484	
3710262624.542089	6.000E-4	4.114E+1	    7.1359	   17.0856	   41.6069	    3.9484	
3710262625.859684	8.000E-4	4.803E+1	    7.0924	   17.0253	   41.6110	    3.8955	
3710262627.131915	1.000E-3	5.360E+1	    7.0924	   17.0253	   41.6110	    3.8955	
3710262628.408530	1.200E-3	5.820E+1	    7.0924	   17.0253	   41.6110	    3.8955	
3710262629.680886	1.400E-3	6.214E+1	    7.0334	   16.9422	   41.5677	    3.8060	
3710262630.959902	1.600E-3	6.553E+1	    7.0334	   16.9422	   41.5677	    3.8060	
3710262632.236267	1.800E-3	6.849E+1	    7.0334	   16.9422	   41.5677	    3.8060	
3710262633.504911	2.000E-3	7.115E+1	    7.0334	   16.9422	   41.5677	    3.8060	
3710262642.030138	2.000E-4	1.961E+1	    6.7924	   17.0036	   41.5579	    3.8578	
3710262643.276107	4.000E-4	3.213E+1	    6.7924	   17.0036	   41.5579	    3.8578	
3710262644.549327	6.000E-4	4.112E+1	    6.7924	   17.0036	   41.5579	    3.8578	
3710262645.864624	8.000E-4	4.801E+1	    6.7078	   17.0083	   41.5478	    3.8586	
3710262647.137780	1.000E-3	5.359E+1	    6.7078	   17.0083	   41.5478	    3.8586	
3710262648.419782	1.200E-3	5.822E+1	    6.7078	   17.0083	   41.5478	    3.8586	
3710262649.691616	1.400E-3	6.218E+1	    6.6437	   16.9936	   41.5244	    3.8373	
3710262650.964659	1.600E-3	6.564E+1	    6.6437	   16.9936	   41.5244	    3.8373	
3710262652.234650	1.800E-3	6.860E+1	    6.6437	   16.9936	   41.5244	    3.8373	
3710262653.506290	2.000E-3	7.125E+1	    6.6437	   16.9936	   41.5244	    3.8373	
3710262662.031276	2.000E-4	1.967E+1	    6.6232	   16.9277	   41.5237	    3.7779	
