Annealing Time (Min) 1,Pin2 (Rabbit 20 m),Annealing Time (Min) 2,Pin4 (BP 10 m),Annealing Time (Min) 3,Pin6 (BP 180 m),Annealing Time (Min) 4,Pin12 (Rabbit 102 m),Annealing Time (Min) 5,Pin26 (BP 38 m),Annealing Time (Min) 6,Pin33 (Rabbit 25 m),Annealing Time (Min) 7,Pin47 (Rabbit 139 m),Annealing Time (Min) 8,Pin107 Vf (10 min R irad)
20.15048266,0.78795,10.15048266,1,180.1504827,0.56591,102.1504827,0.62354,38.15048266,0.71521,25.15048266,0.76269,139.1504827,0.590183,10.15048266,1
30.30096532,0.7934533612,20.30096532,1.019013187,190.3009653,0.5464285178,112.3009653,0.654061424,48.30096532,0.7484897011,35.30096532,0.7783775136,149.3009653,0.622645837,20.30096532,0.9801383116
40.45144798,0.8000198718,30.45144798,1.029833277,200.451448,0.5584691561,122.451448,0.6627158921,58.45144798,0.7658136029,45.45144798,0.7808313092,159.451448,0.6187034811,30.45144798,0.9652695122
50.60193064,0.8040535855,40.60193064,1.02783052,210.6019306,0.5423360537,132.6019306,0.6596868283,68.60193064,0.7473563617,55.60193064,0.7693383179,169.6019306,0.6441439966,40.60193064,0.9616499728
60.7524133,0.7906391424,50.7524133,0.9932634536,220.7524133,0.5432492481,142.7524133,0.6107746596,78.7524133,0.6988737225,65.7524133,0.7461216367,179.7524133,0.5726887956,50.7524133,0.9588727546
70.90289596,0.7883252292,60.90289596,0.984394101,230.902896,0.5577588937,152.902896,0.6078249284,88.90289596,0.6921384485,75.90289596,0.7388231678,189.902896,0.5731199908,60.90289596,0.9627669639
81.05337861,0.785729894,71.05337861,0.9864228678,241.0533786,0.5609043414,163.0533786,0.5997834852,99.05337861,0.6880422362,86.05337861,0.7361596461,200.0533786,0.5687464397,71.05337861,0.9611860858
91.20386127,0.7883877674,81.20386127,0.9889198117,251.2038613,0.5560677929,173.2038613,0.6066133029,109.2038613,0.6944375084,96.20386127,0.7336848779,210.2038613,0.5704712204,81.20386127,0.9584088676
101.3543439,0.7866366979,91.35434393,0.9834317372,261.3543439,0.5702730403,183.3543439,0.6051925277,119.3543439,0.7049856598,106.3543439,0.7336429327,220.3543439,0.5713336108,91.35434393,0.95724915
111.5048266,0.7839788246,101.5048266,0.9820272063,271.5048266,0.5681084311,193.5048266,0.608791344,129.5048266,0.690308915,116.5048266,0.7308745479,230.5048266,0.5665288645,101.5048266,0.9460609279
121.6553093,0.7870744653,111.6553093,0.9818451375,281.6553093,0.5740949283,203.6553093,0.6083441965,139.6553093,0.6965503768,126.6553093,0.7297000817,240.6553093,0.5779247371,111.6553093,0.938278613
151.8057919,0.7804172743,141.8057919,0.9719197857,311.8057919,0.5393935381,233.8057919,0.5940210518,169.8057919,0.6863017508,156.8057919,0.7137189515,270.8057919,0.5440913154,141.8057919,0.926486117
181.9562746,0.7784754633,171.9562746,0.972481598,341.9562746,0.5389200299,263.9562746,0.5894760137,199.9562746,0.6807119591,186.9562746,0.7088281384,300.9562746,0.5498360672,171.9562746,0.918923538
222.1067572,0.7789663882,212.1067572,0.9630166203,382.1067572,0.5338467272,304.1067572,0.5851877248,240.1067572,0.6761502681,227.1067572,0.7024713398,341.1067572,0.5450596566,212.1067572,0.9110374589
282.2572399,0.7741572009,272.2572399,0.960428642,442.2572399,0.5533417382,364.2572399,0.5897414174,300.2572399,0.6857399383,287.2572399,0.6978112255,401.2572399,0.5588782301,272.2572399,0.8875501273
342.4077225,0.7720934404,332.4077225,0.9574427133,502.4077225,0.5605593568,424.4077225,0.5938501261,360.4077225,0.6990113423,347.4077225,0.6954685847,461.4077225,0.5700431052,332.4077225,0.8888075052
402.5582052,0.775401711,392.5582052,0.9610034593,562.5582052,0.5868897976,484.5582052,0.6036318386,420.5582052,0.7065091918,407.5582052,0.6903659483,521.5582052,0.570246383,392.5582052,0.8793832744
462.7086879,0.7689321346,452.7086879,0.9513720186,622.7086879,0.5769156846,544.7086879,0.5966397496,480.7086879,0.6693996131,467.7086879,0.6828514615,581.7086879,0.569165315,452.7086879,0.8648929092
,,,,,,,,,,,,,,1477.859171,0.7645529289
,,,,,,,,,,,,,,2523.009653,0.7152649344
,,,,,,,,,,,,,,3903.160136,0.6856127886
,,,,,,,,,,,,,,5223.310619,0.6691081772
