Annealing Time (Min),Pin107 Vf (10 min R irad)
10.15048266,	1
20.30096532,	0.9801383116
30.45144798,	0.9652695122
40.60193064,	0.9616499728
50.7524133,	0.9588727546
60.90289596,	0.9627669639
71.05337861,	0.9611860858
81.20386127,	0.9584088676
91.35434393,	0.95724915
101.5048266,	0.9460609279
111.6553093,	0.938278613
141.8057919,	0.926486117
171.9562746,	0.918923538
212.1067572,	0.9110374589
272.2572399,	0.8875501273
332.4077225,	0.8888075052
392.5582052,	0.8793832744
452.7086879,	0.8648929092
1477.859171,	0.7645529289
2523.009653,	0.7152649344
3903.160136,	0.6856127886
5223.310619,	0.6691081772
