Date/Time: 2/25/2021 5:27:32 PM
Sensor Name: PinDiode_1
Type: None
Annealing Status: None
Environment: RT
Tester: Andrew

Time Delay per Ramp Step (s): 0.500

Vf: 0.326610

Time	I	0.000000s	Temperature	Air_Temp	Humidity	Dewpoint	
3697135720.369558	1.000E-5	3.279E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135721.631802	1.000E-3	5.605E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135722.918300	1.000E-5	3.280E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135724.190894	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135725.477831	1.000E-5	3.277E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135726.743681	1.000E-3	5.610E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135728.026955	1.000E-5	3.284E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135729.305670	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135730.583361	1.000E-5	3.274E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135731.856036	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135733.142226	1.000E-5	3.279E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135734.407919	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135735.694967	1.000E-5	3.279E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135736.958547	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135738.239948	1.000E-5	3.276E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135739.510941	1.000E-3	5.617E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135740.801619	1.000E-5	3.284E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135742.069272	1.000E-3	5.609E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135743.350702	1.000E-5	3.279E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
